3.,Комиссионные доходы,"За год, закончившийся 31 декабря 2022 года","За год, закончившийся 31 декабря 2021 года"
Организация торгов на денежном рынке,"497,0","11 699,1",
Услуги депозитария и расчетные операции,"806,5","8 396,3",
Организация торгов на фондовом рынке,"5 847,9","8 396,2",
акции,"3 266,3","5 200,8",
облигации,"2 003,6","2 431,6",
листинг и прочие сервисные сборы,"578,0","763,8",
Организация торгов на валютном рынке,"661,6","191,4",
Организация торгов на срочном рынке,"3 741,3","5 198,4",
Реализация программного обеспечения и технических услуг,"221,2","1 133,6",
Информационные услуги,"1 118,2","1 185,8",
Услуги финансового маркетплейса,"747,4","497,0",
Прочее,"846,1","856,2",
Итого комиссионных доходов,"37 487,2","41 554,0",
