В таблице ниже указаны количество и средневзвешенная (CBCC) и движение прав на получение акций в соответствш,справедливая стоимостЬ предоста IИ € LTIP:,зленных акций
Количество,CBCС,
He исполненные на 1 января 2021 года,15 437 368,"106,07"
Предоставленные в течение периода,3 742 192,"114,82"
Модифицированные,(386 044),"107,73"
Изъятые,(2 412 519),"109,46"
He исполненные на 1 января 2022 года,16 380 997,"115,84"
Предоставленные в течение периода,1 061 157,"91,37"
Модифицированные,679 903),"113,27"
Изъятые,(3 315 891),"111,95"
He исполненные на 31 декабря 2022 года,13 446 360,"115,09"
Средневзвешенный оставшийся договорный срок действия,не исполненных инструментов по,рограмме LTIP
"по состоянию на 31 декабря 2022 года составляет 1,68 ГОД","а (31 декабря 2021 года: 2,62 ГОДа",
