11.,Основные средства,Земля,Здания прочая недви- ЖИМОсТь,Мебель и обору- дование,Незавер- шенное строи- тельство,Активы в форме права поль- зования,Всего
Первоначальная стоимость,,,,,,,
31 декабря 2020 года,"208,5","5 798,6","8 072,7","4,5","037,4","15 121,7",
Поступления,"1 304,5","17,7","14,2","1 336,4",,,
Приобретение при объединении бизнесов,"10,9","15,8","26,7",,,,
Реклассификация,"4,0","(4,0)",,,,,
Выбытия,"(189,4)","(22,6)","(212,0)",,,,
Влияние валютной переоценки,"0,1","0,1",,,,,
Модификация и переоценка,"52,6","52,6",,,,,
31 декабря 2021 года,"208,5","5 798,6","9 202,7","18,2","1 097,5","16 325,5",
Поступления,"585,0","2,","15,7","603,4",,,
Реклассификация,"17,7","(17,7)",,,,,
Выбытия,"(277,9)","(0,8)","(278,7)",,,,
БыоытИЯ,"(477,3 )","(U,o ) 7",1z1o/ ) 7,,,,
90,Е поо,0ва,343 2а,,,,
31 декабря 2022 года,"208,5","5 798,6","9 527,5","3,2","379,9","15 917,7",
Накопленная амортизация,,,,,,,
31 декабря 2020 года,"1 789,0","6 800,8","72,0","8 661,8",,,
Начисления за период,"116,1","743,4","112,4","971,9",,,
Выбытия,"(188,4)","(16,0)","(204,4)",,,,
31 декабря 2021 года,"1 905,1","7 355,8","168,4","9 429,3",,,
Начисления за период,"116,1","927,4","132,5","1 176,0",,,
Выбытия,"(277,6)","(0,1)","(277,7)",,,,
Прочее,"0,6","0,6",,,,,
31 декабря 2022 года,"2 021,2","8 006,2","300,8","10 328,2",,,
Остаточная балансовая стоимость,,,,,,,
31 декабря 2021 года,"208,5","893,5","1 846,9","18,2","929,1","6 896,2",
31 декаоря 4Uzz гОда По состоянию на 31 декабря 2022 ГС,2U8rэ да первона',альная CTOV,1эшз 1МОСТЬ ПОЛНС,3j2 СТЬЮ самор,еУ1 тизированны,"э эх9,э X ОСНОВНЫХ",
