Программное обеспечение и лицензии,Клиентская база,Нематериаль- ные активы разработке,Итого,
Первоначальная стоимость,,,,
31 декабря 2020 года,"9 437,9","19 606,7","1 242,5","30 287,1"
Приобретение при объединении бизнесов,"380,7","157,6","8,9","547,2"
Поступления,"1 358,7","927,7","2 286,4",
Реклассификация,"677,1","(677,1)",,
Выбытия,"(64,9)","(9,6)","(74,5)",
31 декабря 2021 года,"11 789,5","19 764,3","1 492,4","33 046,2"
Поступления,"2 503,4","1 087,6","3 591,0",
Реклассификация,"1 085,7","(1 085,7)",,
Выбытия,"(307,7)","(35,1)","(342,8)",
31 декабря 2022 года,"15 070,9","19 764,3","1 459,2","36 294,4"
пакопленная амортизация и ооесцене mm,чие,,,
31 декабря 2020 года,"4 779,6","8 638,9","13 418,5",
Начисления за период,"1 538,3","1 179,3","2 717,6",
Выбытия,"(61,0)","(61,0)",,
31 декабря 2021 года,"6 256,9","9 818,2","16 075,1",
Начисления за период,"1 992,5","1 191,9","3 184,4",
Обесценение,"9,3","9,3",,
Выбытие,"(222,9)","(222,9)",,
31 декабря 2022 года,"8 035,8","11 010,1","19 045,9",
Остаточная балансовая стоимость,,,,
31 декабря 2021 года,"5 532,6","9 946,1","1 492,4","16 971,1"
31 декабря 2022 года,"7 035,1","8 754,2","1 459,2","17 248,5"
31 декабря 2022 года,"7 035,1","8 754,2","1 459,2","17 248,5"
1_ базы представляют собой клиентСКЬ,+ 1е взаимоотношенV,IЯ професси,11 1q онаЛьными участHи,ками рынка
