13.,Средства клиентов,31 декабря 2022 года,31 декабря 2021 года
"Финансовые обязательства, оцениваемые по амортизированной стоИмОСТИ",,,
Прочие текущие и расчетные счета,"583 599,1","141 822,3",
Средства участников клиринга,"484 219,1","518 140,4",
Обеспечение под стресс,"8 463,5","35 972,3",
Фонды покрытия рисков,"4 309,4","5 370,3",
Итого финансовых обязательств; оцениваемых по амортизированной стоимости,"1 080 591,1","701 305,3",
Нефинансовые обязательства_ оцениваемые по ССчОПУ,,,
Счета участников клиринга в драгоценных металлах,"32 198,7","17 089,9",
Итого нефинансовых обязательств; оцениваемых по ССчОПУ,"32 198,7","17 089,9",
Итого средств клиентов,"1 112 789,8","718 395,2",
14.,Прочие обязательства,31 пекабоя,31 пекабоя
'  цааони 2022 года,z нааон 2021 года,,
Прочие финансовые обязательства,,,
Обязательства по производным финансовым инструментам (Прим. 10),"1 581,6",,
Кредиторская задолженность по торговым и прочим операциям,"859,5","1 321,8",
Обязательства по выплатам сотрудникам,"512,0","407,3",
Обязательства по выплатам сотрудникам,"512,0","407,3",
ооязательства по выплатам сотрудникам,"J1z,u",4U/,
Обазатепьства пО япанпа,1n9 5,981,
оолэа Auv Da арспцс hмuэuсолL обaзатоп 1]т Ерото,uJ on 0,20 1cn n,
Финансовые обязательства на приобретение неконтрольных долей участия,"80,0","160,0",
Обязательства пО выппате пивиленлов,,,
Обязательства по выплате дивидендов,"1,2","1,6",
,,,
Итого прочих финансовых обязательств,"3 143,8","2 872,4",
,,,
Прочие нефинансовые обязательства Dazann Пn выппато розцаграwпацма парсоца,2En,,
Резерв по выплате вознаграждения персоналу,"3 275,1","2 350,6",
сэсрь 1IU DыNла воэпа ралепил пvpvпany Обязательства налогового агента при выплате доходов,21 J,"JJU,",
оолэа елос Da палговUо аrсn нриI Dыла цохончь владельцам ценных бумаг,"2 923,7","3 213,6",
вЛадельцам ценных умаг,"2 J43,","413,0 170 7",
"Налоги к уплате, кроме налога на прибыль","842,0","787,0",
Авансы полученные,"405,0","401,6",
Итого прочих обязательств,"10 589,6","9 625,2",
Ниже представлен анализ сроков погашения обязательства по аренде и 31 декабря 2021 года:,70 состОЯНИЮ на 31,екабря 2022 ГОДа,
31 декабря 2022 года,31 декабря 2021 года,,
Анализ сроков погашения обязательств по аренде,,,
Менее года,"100,5","171,7",
От одного до двух лет,"9,2","166,2",
От двух до трех лет,"1,5","164,3",
От трех до четырех лет,"1,5","158,5",
От четырех до пяти лет,"1,5","158,5",
Более 5 лет,"0,9","552,2",
За вычетом неполученных процентов,"(5,4)","(390,3)",
Обязательства по аренде,"109,5","981,0",
