Прим:,За закончившийся 31 декабря 2022 года ГОД,За год закончившийся 31 декабря 2021 года,
Комиссионные дОхОды,"37 487,2","41 554,0",
"Процентные доходы, рассчитанные с использованием эффективной процентной ставки","44 706,4",13 836 4,
Прочие процентные доходы,"173,3",439 5,
Процентные расходы,(3 054.2),190,
"Чистая прибыль/ (убыток) по финансовым инструментам, оцениваемым по справедливой стоимости через прибыль или убыток","775,9",(96,
"Чистый (убыток )/прибыль по финансовым активам, оцениваемым по справедливой стоимости через прочий совокупный доход","(665,6)","589,7",
Доходы за вычетом расходов по операциям иностранной валюте и драгоценными металлами,"3 692,6","(676,9)",
Прочие операционные доходы,"379,7",412.7,
Операционные доходы,83 495 3,54 868 9,
Общие и административные расходы,860 9),632,
Расходы на персонал,"(11 982,3)","(9 881,7)",
Расходы на персонал,"(11 982,3)","(9 881,7)",
Операционная прибыль до вычета прочих операционных расходов и налогообложения,"59 652,1","34 354,3",
Изменение резерва под ожидаемые кредитные убытки,"(13 093,9)",627 .4,
Прочие убытки от обесценения и резервы,"(1 247,6)",,
Прибыль до налогообложения,"45 310,6","34 981,7",
Расходы по налогу на прибыль,"(9 019,5)","(6 884,2)",
Чистая прибыль,"36 291,1","28 097,5",
Приходящаяся на:,,,
Акционеров материнской компании,"36 271,1","28 095,1",
Неконтрольные доли участия,"20,0","2,4",
Прибыль на акцию (в рублях),,,
Базовая прибыль на акцию,16,"16,07","12,45"
Разводненная прибыль на акцию,16,"15,96","12,35"
