Прим,Прим-,"За год, закончившийся 31 декабря 2022 года","За год, закончившийся 31 декабря 2021 года"
Чистая прибыль,"36 291,1","28 097,5",
"Прочий совокупный доход/ (убыток), который впоследствии может быть реклассифицирован в состав прибыли или убытка",,,
Курсовые разницы от пересчета зарубежной деятельности в валюту отчетнОсти,"(9,9)","5,0",
"Чистая величина изменения справедливой стоимости долговыХ инструментов , оцениваемых по справедливой стоимости через прочий совокупный доход","(2 481,8)","(6 352,0)",
"Величина изменения оценочного резерва под ожидаемые кредитные убытки по долговым инструментам, оцениваемым по справедливой стоимости через прочий совокупный ДОхОд","900,0","(106,4)",
"Чистый убыток/ (прибыль) от инвестиций , оцениваемых по справедливой стоимости через прочий совокупный доход; реклассифицированная В отЧет 0 прибылях и убытках","665,6","(589,7)",
"Налог на прибыль; относящийся к компонентам, которые впоследствии может быть реклассифицированы","(16,8)","1 409,6",
"Прочий совокупный доход/ (убыток), который впоследствии может быть реклассифицирован в состав прибыли или убытка","57,1","(5 633,5)",
Итого совокупный доход,"36 348,2","22 464,0",
Приходящийся на:,,,
Акционеров материнской компании,"36 328,7","22 461,6",
Неконтрольные доли участия,"19,5","2,4",
