Прим,За закончившийся 31 декабря 2022 года ГОД;,"За год, закончившийся 31 декабря 2021 года"
"Денежные средства, полученные от (использованные в) инвестиционной деятельности",,
"Приобретение финансовых активов, оцениваемых по ССчПСД","(39 400,7)","(113 086,4)"
"Поступления от продажи и погашения финансовых активов, оцениваемых по ССчПСД","88 600,7","57 703,7"
Приобретение основных средств и нематериальных активов,"(3 611,7)","(4 147,1)"
Поступления от реализации основных средств и нематериальных активОв,"0,4","51,1"
"Приобретение дочерних компаний, за вычетом денежных средств приобретенных дочерних компаниях","119,3)",
"Приобретение инвестиций, учитываемых методом долевого участия","(127,0)","(210,7)"
"Денежные средства, полученные от (использованные в) инвестиционной деятельности","45 461,7","(60 808,7)"
"Денежные средства, полученные от (использованные в) финансовой деятельности",,
Ливиленлы vплаченные,(21 369,
Ленежный отток по обязательствам по аneнле,(194 5),(163 0)
Приобретение неконтрольных лолей vчастия в лочерних компаниях,(86 0),(38 2)
Поиобретение собственных акций,(450.0),
"Денежные средства, использованные финансовой деятельности","(280,5)","(22 020,3)"
Впияние изменения кvnca иностранных валют по отношению nvhлю,,
Fcu на денежные средства И Их эквиваленты,"1 271 233,4)","(15 854,8)"
Чистое уменьшение денежных средств и их эквивалентов,"(13 357,5)","(509,4)"
Денежные средства и их эквиваленты на начало периода,"471 283,7","471 793,1"
"Реклассификация средств, ограниченных испоЛЬзоваНИИ, ИЗ денежных средств и их эквивалентов на начало периода","(6 391,2)",
Денежные средства и их эквиваленты на конец периода,"451 535,0","471 283,7"
"Сумма процентов , полученных Группой ОТ операционной деятель 31 декабря 2022 года  составила 45 492,1 млн руб. (31 декабря 2021 ГОА","ТИ течение ГОДа 17 777,9 млн руб:",закончившегося
