IFRS 16,До пр,именения IFRS,16,,,
МЛН РУБ:,2 KB 2022,2 KB: 2021,ИЗМ: Г-К-Г,2 KB: 2022,2 KB: 2021,ИЗМ  Г-К-Г
Выручка,647 950,546 512,"6 18,6",647 950,546 512,"6 18,"
В T: Ч: чистая розничная выручка5,646 162,544 409,"18,7",646 162,544 409,"18,7"
кПятерочках (вкл: экспресс- доставку),534 318,447 611,"19,4",534 318,447 611,"19,4"
кПерекрестокх (в т.ч. Vprokru и экспресс-доставка),100 041,87 865,"13,9",100 041,87 865,"13,9"
кКарусельх,4 464,8 454,"(47,2)",4 464,8 454,"(47,2)"
<Чижикх,6 818,245,28х,818,245,28х
Валовая прибыль,167 016,140 096,"19,2",164 957,138 090,"19,5"
Валовая рентабельность; %,"25,8","25,6",14 б.п.,"25,5","25,3",19 б .п
Скорр: EBITDA,91 013,71 728,"26,9",62 376,45 424,"37,3"
Рентабельность скорр: EBITDA; %,"14,0","13,1",92 б.п:,"9,6","8,3",132 б.п
EBITDA,90 152,70 3З3,"28,2",61 515,44 029,"39,7"
Рентабельность EBITDA; %,"13,9","12,9",104 б.п.,"9,5","8,1",144 б.п.
Операционная прибыль,51 578,33 303,"54,9",41 519,25 371,"63,6"
Операционная рентабельность; %,"8,0","6,1",187 б.п.,"6,4","4,6",177 б.п.
Чистая прибыль,26 762,14 920,"79,4",25 442,16 133,"57,7"
"Рентабельность чистой прибыли, %","4,1","2,7",140 б.п.,"3,9","3,0",97 б.п.
