IFRS 16,Pre-IFRS 16,,,,,
МЛН РУБ:,1П 2022,1П 2021,ИЗМ: Г-К-Г,1П 2022,1П 2021,ИЗМ Г-К-Г
Валовая прибыль,317 446,269 637,"17,7",313 429,265 715,"18,"
"Рентабельность валовой прибыли, %","25,4","25,6",(24) б.п:,"25,0","25,2",(19) б.п
"Коммерческие, общие и административные расходы (без учета расходов на амортизацию; обесценение LTI; выплат на основе акций и эффекта трансформации кКаруселих)",(168 048),(147 545),"13,9",(219 702),(194 918),"12,"
% от выручки,"13,4","14,0",(58) б.п.,"17,5","18,5",(95) б.п
Чистые убытки от обесценения финансовых активов,(147),(130),"13,1",(147),(130),"13,"
% от выручки,"0,01","0,01",(0) б.п.,"0,01","0,01",(0) б.п
Аренда/субаренда прочий доход (без учета эффекта трансформации кКаруселих),11 941,11 422,"4,5",11 329,10 232,"10,"
% от выручки,"1,0","1,1",(13) б.п.,"0,9","1,0",б.п
Скорр  EBITDA,161 192,133 384,"20,8",104 908,80 899,"29,"
Рентабельность скорр: EBITDA; %,"12,9","12,7",21 б п.,"8,4",70 б п,
"Пачисление 3а pa r по проr раммe долгосрочного премирования, выплат на основе акций и прочих разовых выплат и соответствующим взносам во внеб: фонды",061),606),"(33,9)",(1 061),606),"(33,9)"
% от выручки,"0,1","0,2",б.п.,"0,1","0,2",б.п
Эффект трансформации кКаруселих,(423),(218),"94,0",(423),(218),"94,0"
% от выручки,"(0,03)","(0,02)",б.п.,"(0,03)","(0,02)",б.п
EBITDA,159 708,131 560,"21,4",103 424,79 075,"30,8"
Рентабельность EBITDA; %,"12,8","12,5",27 б.п:,"8,3","7,5",76 б п
