К,"питал, причит",ающийся акциог,нерам материн,коЙ компании,,,,
Приме- чания,Уставный капитал,Эмиссион- ДОХод ный,Собствен- ные акции; выкуплен- ные у акционеров,Резерв накоплен- ных курсовых разниц и прочие резервы,Нераспре- деленная прибыль,Итого,Неконтро- лирующие ДОЛИ,Итого
Баланс на 1 января 2020 года,197,39 464,16 826,179 400,235 887,29 478,265 365,
Прибыль за год,245 377,245 377,18 415,263 792,,,,
Прочий совокупный доход,2 806,2 806,2 806,,,,,
Общий совокупный доход за год,2 806,245 377,248 183,18 415,266 598,,,
Дивиденды,31,186 816),186 816),14),186 830),,,
Баланс на 31 декабоя 2020 года,197,39 464,19 632,237 961,297 254,47 879,345 133,
Прибыль за год,478 863,478 863,34 016,512 879,,,,
Прочий совокупный доход,5 391,5 391,5 391,,,,,
Общий совокупный доход за гОд,5 391,478 863,484 254,34 016,518 270,,,
Дивиденды,31,394 440),394 440),(394 446),,,,
Прочие эффекты в отношении операций c,,,,,,,,
рочие эффекты в отношении операций c,,,,,,,,
сvvvьснникамн нсконтролирующих долсн Выкуп собственных акций,22,(149 630),DU +UJ,uuquu (149 630),uu uuu (149 630),,,
Погашение собственных акций ранее выкупленных У акционеров,145),127 633,(126 482),,,,,
Баланс на 31 декабря 2021 года,191,38 319,(21 997),25 023,232 311,273 847,81 889,355 736
Прибыль за год,401 825,401 825,27 518,429 343,,,,
Прочий совокупный доход,3 563,3 563,3 563,,,,,
Обший совокупный лохол за гоl,3 563,401 825,405 388,27 518,432 906,,,
Дивиденды,31,(178 272),(178 272),910),(186 182,,,
Погашение собственных акций; ранее выкупленных y акционеров,22,(197),21 997,(21 799),,,,
Баланс на 31 декабря 2022 года,190,38 122,28 586,434 065,500 963,101 497,602 460,
