6,СЕГМЕНТЫ (ПРОДОЛЖЕНИЕ),,,,,,,,
"За год, закончившийся 31 декабря 2021 года",Группа ГМК,Южный кластер,Группа КГМК,NN Harjavalta,ГРК Быстринское,Прочие добываю- щие,Прочие не- металлур- гические,Исклю- чено,Итого
Выручка от реализации внешним контра,тгентам,,,,,,,,
Выручка от реализации металлов,480 014,566 168,80 805,88 427,2 053,44 338,1 261 805,,
Выручка OT прочей реализации,13 947,57,1 883,506,233,38 517,55 143,,
Выручка от реализации другим сегмента,,,,,,,,,
Выручка от реализации металлов,356 537,45 534,160 351,28 239,8 020,20,598 701),,
Выручка от прочей реализации,23 261,10 895,58,2 449,31,29 900,66 596 ,,
Итого выручка,873 759,56 486,728 460,109 552,99 129,2 084,112 775,(665 297),1 316 948
Сегментная EBITDA,402 157,29 211,278 120,4 360,79 274,101),723,52 837,845 581
Нераспределенные,(69 671,,,,,,,,
Консолидированная EBITDA,775 910,,,,,,,,
Износ и амортизация,68 312),,,,,,,,
Убыток от обесценения,,,,,,,,,
нефинансовых активов; нетто,3 689),,,,,,,,
Финансовые расходы; нетто,(20 537,,,,,,,,
Финансовыс рРасходы; HC1Iо,1zu J5/ 0оn,,,,,,,,
"Отрицательные курсовые разницы, нетто",3 992),,,,,,,,
отрицатсльныс курсовыс Разницы: HCLI,JJ2,,,,,,,,
Прибыль от инвестиционной,,,,,,,,,
Ариоыль от инвестиционнои,,,,,,,,,
IpHvDIJD Дм деятельности и убыток от выбытия,,,,,,,,,
деятельности и убыток от выбытия,,,,,,,,,
деятельности и убыток от выбытия дочерних организаций и,,,,,,,,,
дсясльности и уоыток 01 выоытия дочерних организаций и,,,,,,,,,
зарубежных совместных операций,2 241,,,,,,,,
зарубежных совместных операций,2 241,,,,,,,,
приыль до налогооoложения,Ппnиe,Прочие не_,001 041,,,,,,
Группа,Южный,Группа Il,NN,ГРК,Прочие добываю-,Прочие не- металлур-,Нераспре-,,
Innuia,еи. атша гu,кластер,шI IIn,пarJavalta,ьыстринское,щие,тические,деленныс,Иоrо
шpu 1uе цп Приобретение основных срeлств,,,,,,,,,
и нематериальных активов,46 885,22 397,4 992,930,4 642,910,178,202 934,
Износ и амортизация,45 870,2 234,6 182,877,8 977,73,4 099,68 312,
Убыток от обесценения/ (восстановление),,,,,,,,,
убытка от обесценения,,,,,,,,,
нефинансовых активов; нетто,215),10 043,119,739,3 689,,,,
Изменение резервов,56 296,405,1 391,63,30,8 102,66 284,,
