Ha 31 декабря 2022 года,Группа ГМК,Южный кластер,Группа КГМК,NN Harjavalta,ГРК Быстринское,Прочие добываю- щие,Прочие не- металлур- гические,Исклю- чено,Итого
Межсегментные активы,94 604,10 059,160 861,41 991,9 355,245,(324 115,,
Активы по сегментам,1 086 493,78 570,306 962,45 238,108 752,3 869,126 336,87 198 ,669 022
Всего активы по сегментам,1 181 097,88 629,467 823,87 229,118 107,3 869,133 581,(411 313),1 669 022
Нераспределенные,145 384,,,,,,,,
Итого активы,1 814 406,,,,,,,,
Межсегментные обязательства,35 380,1 758,50 291,56 200,281,71,180 134,(324 115),
ТIсжccr мснтныс ооязатсльетьd Базате,JJ JOU 252 €1€,7Jo 94 7го,JU <JI 24 €7с,J0 _UU 12г,ZOl 294,Iou 1.4 29 С4а,324 1lJ),9Eп 72,
Обязательства по сегментам Всего обязательства по,253 616,24 759,34 676,5 135,11 324,4 572,22 649,356 731,
сегментам,288 996,26 517,84 967,61 335,11 605,643,202 783,(324 115),356 731
Нераспределенные,855 215,,,,,,,,
Итого обязательства,1 211 946,,,,,,,,
