15.,ОСНОВНЫЕ СРЕДСТВА,,,,,
15.,основныЕ СРЕДСтв,Основн пользования,"ые средства 1, нe относящ бо",активы в фо еся добыче пенин,рме права первичному,
Основные средства; используемые для добычи и первичного обогащения,Здания; сооружения инфра- структура,Машины; оборудова- ние и транспорт,Прочие основные средства,Незавершенное капитальное строительство,Итого,
Первоначальная стоимость,,,,,,
Остаток на января 2020 года,617 612,220 386,254 200,18 264,96 563,1 207 025
Строительство и приобретение,68 861,68 965,137 826,,,
Ввод в эксплуатацию,14 087,25 750,1 498,(41 335),,
Изменение обязательств по выводу основных средств ИЗ эксплуатации,2 999,108,3 107,,,
из эксплуатации Приобретение активов в форме права пользования и переоценка,2 ЭУЭ,IUo,3 IU/,,,
обязательств по аренде Выбытие в связи c продажей,(547),4 984,353,4 790,,
дочерних организации (Примечание 21) Поступления в связи,680),680),,,,
иосiyплсния ь СьАзн приобретением дочерних организаций,1 841,60,1 904,,,
Выбытия,(2 242),867),(2 085),(123),(910),227)
Прочее,384,(165),345,(37),(525),(766)
Эффект пересчета в валюту прелставления,92,68,495,,,
представления,9z,o66,06,Ib,IUJ,495
Остаток на 31 декабря 2020 года,685 087,235 509,286 941,20 074,122 863,1 350 474
Остаток на 31 декабря 2020 года,685 087,235 509,286 941,20 074,122 863,1350 474
Остаток на 31 декабря 2020 года,685 087,235 509,286 941,20 074,122 863,1 350 474
1aum na депаори zunu1ода,uuu uu nn 01,zuu uuu,cuu,uuu 1 n0 Гэо,Juu n1n 4вг,
Строительство приобретение,90 917,128 538,219 455,,,
Ввод в эксплуатацию,22 197,34 233,888,(58 318),,
Ввод в эксплуатацию Иаме,22 197,34 233,1 888,(58 318),,
Dьод лкчплус 1ацию Изменение обязательств по выводу основных средств,1J7,0uo,"(uo ,IU)",,,
Изменение ооязательств по выводу основных средств из эксплуатации,9 785,1 550,11 335,,,
ьыьоду из эксплуатации Приобретение активов в форме прявя потнховяния 1 переопенка,9 785,1 550,11 335,,,
Приобретение активов в форме права пользования и переоценка,,,,,,
права пользования и переоценка обязательств по аренде,528,1 345,560,2 433,,
Ръбнтия,98,929),(? 729),220,(21 952),
Выбытия,980),094),929),(3 729),220),(21 952)
Выбытия,980),094),929),(3 729),220),(21 952)
Прочее,(232),(444),(143),(88),(35),(942)
Эффект пересчета в валюту представления,(1 149),39,(15),(970),,
Остаток на 31 пекабря 202,779 428,255 285,314 618,18 690,191 812,559 833
Строительство и приобретение,111 661,187 220,298 881,,,
Ввод в эксплуатацию Изменение обязательств по выводу основных средств,28 459,52 594,10 974,(92 027),,
из эксплуатации Приобретение активов форме права пользования и переоценка,102),228),9 330),,,
обязательств по аренде,7 570,1 752,918,10 240,,
Выбытия,5 761),913),(15 951),462),(28 858),
Прочее Эффект пересчета в валюту,1 325,222,1 426,(2 085),(807),81
представления,(562),226),(28),(43),859),
Остаток на 31 декабря 2022 года,879 551,283 833,353 213,27 698,284 693,1 828 988
