26.,ОЦЕНОЧНЫЕ ОБЯЗАТЕЛЬ,СTВА,,,
Обязательства По выводу основных средств из эксплуатации,Экологичес- кие обяза- тельства,Налого- вые обяза- тельства,Прочие обяза- тельства,Итого,
Остаток на января 2020 года,40 990,230,1 229,42 449,
Начисление,1 946,149 379,86,1 284,152 695
Использование,(1 162),(3 476),(664,(5 302),
Изменение оценок,938,839,(421),8 356,
Амортизация дисконта,2 301,2 305,,,
Эффект пересчета в валюту представления,460,38,507,,
Остаток на 31 декабря 2020 года,45 473,153 742,354,1 441,201 010
Начисление,10 587,112,828,11 527,
Использование,(1 757),(147 652),(53),512),(150 974)
Изменение оценок,134,13 170,83,(196),13 025
Амортизация дисконта,2 869,2 877,,,
Эффект пересчета в валюту представления,(242),(24,(266),,
Остаток на 31 декабря 2021 года,57 064,19 260,306,569,77 199
Начисление,489,558,1 047,,
Использование,(2 084),168),"(225,",235),(3 712)
Изменение оценок,830),586,(274),384),(3 902)
Амортизация дисконта,4 782,1 907,6 689,,
Эффект пересчета в валюту представления,(198),(35),(234),,
Остаток на 31 декабря 2022 года в тч. краткосрочная часть:,51 734,24 585,261,507,77 087
Ha 31 декабря 2020 года,886,153 064,354,1 351,159 655
Ha 31 декабря 2021 года,6 426,3 549,306,536,10 817
Ha 3 ] декабря 2022 года,10 248,1 657,261,475,12 641
