35.,УПРАВЛЕНИЕ ФИНАНСОВЫМИ Р,АСКАМИ (ПР,ОДОЛЖЕНИГ,
Сверка изменений обязательств и денеж,ныХ ПОТОКОВ ОT Кредиты и займы,финансовой д Обязательства по аренде,ятельности: Производные финансовые инструменты (обязательства,Итого
Остаток на января 2020 года,595 541,13 856,(6 235),603 162
Привлечение кредитов и займов,220 915,220 915,,
Погашение кредитов и займов,195 849),(195 849),,
Погашение обязательств по аренде,(3 286),3 286),,
Поступления по обмену потоками па ₽атютнозппонентнъ 1n (пн,,,,
"Изменения, обусловленные денежными",25 nEF,nof,ueu rn,
потоками по финансовои деятельности Прочие неденеэсные изменения:,25 Ubb,286),2 62U,24 6UU
1ipu ПLCuL€ Начисление обязательства по аренде,6 568,6 568,,
Изменение справедливой стоимости производных финансовых инструментов,13 408,13 408,,
Влияние изменений валютных курсов Затnaтк Пn TЪIIR ПЕЧынттн займов,92 220,2 236,94 456,
Затраты по привлечению займов и амортизация займов по эффективной ставке,(1 118),(1 118),,
Остаток на 31 декабря 2020 года,711 709,19 374,9 993,741 076
Привлецение Нпn ПТТT/р зяймов,642,642,,
Погашение крелитов и займов,(30,(30 617),,
Погашение обязательств по аnенле,083),(4 083),,
Погашение обязательств по аренде,083),083),,
Погашение обязательств по аренде,(4 083),4 083),,
Поступления по обмену потоками по валютно-пронентным свопям,309,,,
Поступления по обмену,,,,
потоками по валютно-процентным свопам Измонения Tur пав понн uuо,309,309,,
потоками по валютно-процентным свопам Изменения; обусловленные денсжными,non,309,З09 27 9г 1,
Изменения; обусловленные денежными потоками по финансовой деятельности,41 025,083),309,37 251
потоками по финансовои деятсльности Прочие неоенежные изменения:,41 U2J,U83 ),JUJ,3/ 451
Прочuе неоенежсные изменения: Начисление обязательства по аенде,2 645,,,
Начисление обязательства по аренде,2 645,2 645,,
Начисление ооязательства по аренде Изменение справедливой стоимости,2 645,2 645,,
Изменение справедливой стоимости производных финансовых инструментов,928),4 928),,
производных финансовых инструментов Влияние изменений валютных курсов,6 137,(431),928),928) 5 706
Влияние изменений валютных курсов Затраты по привлечению займов и,6 137,(431),5 706,
Затраты По привлечению займов и амортизания займов по эффективной ставке,,,,
амортизация займов по эффективной ставке,819,819,,
Остаток на 31 декабря 2021 года,759 690,17 505,5 374,782 569
Привлечение кредитов и займов,628 914,628 914,,
Погашение кредитов и займов,(543 489),(543 489),,
Погашение обязательств по аренде,3 447),447),,
Выбытия по обмену потоками по валютно-процентным свопам,2 317),(2 317),,
Изменения; обусловленные денежными потоками по финансовой деятельности,85 425,447),(2 317),79 661
Прочuе неоенежсные изменения: Начисление обязательства по аренде,10 155,10 155,,
Изменение справедливой стоимости производных финансовых инструментов,1 623,1 623,,
Влияние изменений валютных курсов,(26 099),1 968,(24 131),
Изменение в связи выбытием дочерних организаций,168),168),,
Затраты по привлечению займов и амортизация займов по эффективной ставке,(11 323),(11 323),,
Прочее,(565),(565),,
Остаток на 31 декабря 2022 года,807 693,16 448,680,828 821
