Отчет 0 движении денежных средств за год; закончившийся (8 mысячах poccuickux рублей),я 31 декаб,эя 2022 г:
Прим:,2022 г:,2021
Денежные потоки от операционной деятельности,,
Вознаграждение доверительного управляющего полученное,511 938,10 090 415
Процентные доходы полученные,233 364,38 820
Процентные расходы уплаченные,(2 518),(3 891)
Вознаграждение агента уплаченное,(1 893 359),(4 674 025)
Расходы на содержание персонала уплаченные,1 546 992),1 290 037)
Прочие операционные расходы уплаченные,(804 581,(654 539)
Налог на прибыль уплаченный,(781 817),(822 979)
Прочие платежи,(231 046),(21 669)
Чистые денежные средства; полученные от операционной деятельности,2 484 989,2 662 095
Денежные потоки от инвестиционной деятельности,,
Приобретение основных средств,6 552),2 851)
Приобретение нематериальных активов,(20 812),(37 082)
Упл uш ца 1b paoIvv организациях,18 950 00О,3 400 000
Чистые денежные средства; использованные в инвестиционной,,
Чистые денежные средства; использованные в инвестиционной деятельности,(5 527 364),(39 933)
Пенежные потоки от финансовой пеятельности,,
Денежные потоки от финансовой деятельности Погашение обязательств по договорам аренды,(59 838),(49 182)
Чистые денежные средства; использованные финансовой деятельности,(59 838),(2 248 412)
Влияние изменений обменных курсов на денежные средства,(1 427),1 172
влияние изменении в ожидаемых кредитных уоытках на денежные средства,20,
Чистый прирост денежных средств,3 103 620),374 915
Денежные средства на начало отчетного года,3 322 408,2 947 493
Денежные средства на конец отчетного года,218 788,3 322 408
