Содержание,IP.,
,,
Аудг,торское заключение независимого аудитора,3
При,ожения,
т 0 финансовом положении,,
Отч,т 0 проибыли или vбытке и прочем совокупном доходе,
Отч,т о6 изменениях собственном капитале,
Отчо,т 0 движении денежных средств,10
При,ечания К финансовой отчетности,
1,Описание деятельности,11
2,"Экономическая среда, в которой Компания осуществляет свою деятельно",11
3,Основные положения учетной политики,12
Важные оценочные значения и суждения применении учетной политики,22,
5,Применение новых или пересмотренных стандартов и разъяснений,23
6,Новые стандарты и интерпретации,24
Денежные средства,26,
8,Средства в кредитных организациях и банках-нерезидентах,27
9 ,Дебиторская задолженность,28
9,Дебиторская задолженность,28
1U,Основные средства и активы форме права пользования,30
11,Нематериальные активы,32
Ч]nnu4о ц офицацсол,,
12,Прочие нефинансовые активы,32
"яpv # 5ыы Иn0 11г ,",,
13,Кредиторская задолженность,33
Грсдиорскал эацолисмпчс ]г01н140 L 0ф4ц эun5ш 6азэтоп,,
14,Прочие нефинансовые обязательства,33
Dozanzы OLLauouuLa обазатопьства,22,
15,Резервы оценочные обязательства,33
16,Капитал и дивиденды,33
17 .,Управление капиталом,34
1Нuu uzтч Роэuaграw пошо п0nоnтоп u6г 17 ПралпашLог,,
18,Вознаграждение доверительного управляющего,35
19,Прибыль от прекращенной деятельности,36
20,Процентные доходы,36
21,Прочие доходы,36
22,Расходы на содержание персонала,37
23,Прочие операционные расходы,37
24,Налог на прибыль,37
25,Условные обязательства,38
26,Раскрытие информации справедливой стоимости,39
27,Управление рисками,41
28,Взаимозачет финансовых инструментов,50
29,Представление финансовых инструментов по категориям оценки,50
30,Раскрытие информации связанных сторонах,50
31,События после окончания отчетного периода,52
