Наименование показателя,Программное обеспечение,Лицензии и франшизы,Итого
Стоимость (или оценка) на 1 января 2021 Накопленная амортизация на января 2021,98 953 (36 664),12 356 (8 552),111 309 (45 216)
Балансовая стоимость на января 2021,62 289,3 804,66 093
Поступление Выбытие Амортизационные отчисления Амортизационные отчисления при выбытии,34 672 (10 149) (18 394) 10 149,(59) (1 180) 58,34 672 (10 208) (19 574) 10 207
Балансовая стоимость на 31 декабря 2021,78 567,2 623,81 190
Стоимость (или оценка) на 31 декабря 2021 Накоппонцаа 2Лmащ|яап 21 П| бna 2021,123 476 (44 9nq),12 297 (9 674),135 773 754 582)
Балансовая стоимость на января 2022 г:,78 567,2 623,81 190
Поступление Выбытие Tn(,14 004 523) 122 1 91,60,14 004 583) 2со
Амортизационные отчисления Амортизационные отчисления при выбытии,(33 121) 883,(1 148),(34 269) 883
Балансовая стоимость на 31 декабря 2022 г:,56 810,1 415,58 225
Стоимость (или оценка) на 31 декабря 2022 г: Накопленная амортизация на 31 декабря 2022 г:,129 957 147) (73,12 237 (10 822),142 194 (83 969)
Балансовая стоимость на 31 декабря 2022 г. По состоянию на 31 декабря 2022 г. и по состоянин,56 810 0 на 31 декабря 2021 г пр,1 415 изнаки обесценения не,58 225 зматериальных
