Справедли,зая стоимость 5 пацu,декабря 2022 10 уровням,Справедли,31 ая стоимость 'u аi,декабря 2021 10 уровням,,,,,
декабря 2022,31,декабря 2021,,,,,,,,
Справедли,зая стоимость ходных данны,10 уровням,Справедлим,ая стоимость ходных данны,10 уровням,,,,,
Наименование показателя,Рыночные котировки (уровень 1),Модель оценки; исполь- зующая данные наблюдае- мых рынков (уровень 2),Модель оценки; исполь- зующая значитель- ный объем ненаблюдае- мых данных (уровень 3),Итого справед- ливая стоимость,Балансовая стоимость,Рыночные котировки (уровень,Модель оценки использ- ующая данные наблюдае- мых рынков (уровень 2),Модель оценки; использ- ующая значитель- ный объем ненаблюдае- мых данных (уровень 3),Итого справед- ливая стоимость,Балансовая стоимость
Финансовые активы,,,,,,,,,,
денежные средства: денежные средства на расчетных счетах,218 788,218 788,218 788,3 322 408,3 322 408,3 322 408,,,,
Средства в кредитных организациях и банках- нерезидентах: 15,,,,,,,,,,
организациях; оцениваемые по амортизированной стоимости Дебиторская задолженность: Бuто 11m1r ( 95||,5 545 755,5 545 755,5 545 755,,,,,,,
клиентов по оплате вознаграждения,2 083 088,2 083 088,2 083 088,1 512 759,1 512 759,1 512 759,,,,
рочая деоит орская задолженность,105 420,105 420,105 420,2 408,2 408,2 408,,,,
Финансовые обязательства Обязательства по аренде Кредиторская задолженность,238 870,505 870,505 870 238 870,505 870 238 870,838 691,68 945,68 945 838 691,68 945 838 691,,
