(8 mысячах poccuucкux рублей),Прим,31 декабря 2022 г.,31 декабря 2021
АКТИВЫ,,,
Денежные средства,218 788,3 322 408,
Срелства в кредитных организациях и банках-нерезилентах,5 545 755,,
биторская пжен,2 188 508,515 167,
Отложенный налоговый актL,20 349,162,
Основные срелства и активы форме права пользования,248 454,,
Нематериальные активы,58 225,81 190,
Требования по текущему налогу на прибыль,49,39 403,
Прочие нефинансовые активы,12,91 567,84 570
ИТОГО АКТИВЫ,8 790 905,5 302 354,
1maa^,,,
ошнэн|ыэсэн 0r.2 '01. тг1 1г,гnr 07n,,
Обязательства по аренде,10,505 870,68 945
~au ! тыv шC ерunд  7&u AZee,920 0n,029 601,
Кредиторская задолженность,13,238 870,838 691
кредиторская задолженность,z38 01U 4_ | 1|;,636 09 |,
Текущие обязательства по налогу на прибыль,126 503,,
екущие ооязательства по налогу на приоыль,1zo J03,,
Прочие нефинансовые обязательства,14,75 966,84 194
Ргезервы оценочные ооЯзательатва,42 UmJ,42 OJU,
ИТОГО ОБЯЗАТЕЛЬСТВА,989 284,034 680,
СОБСТВЕННЫЙ КАПИТАЛ,,,
Уставный капитал,"16,17",035 00О,035 00О
Дополнительный капитал,16,487 984,487 984
Резервный фонд,16,51 750,51 750
Нераспределенная прибыль,6 226 887,2 692 940,
ИТОГО СОБСТВЕННЫЙ КАПИТАЛ,7 801 621,4 267 674,
ИТОГО ОБЯЗАТЕЛЬСТВА И СОБСТВЕННЫЙ КАПИТАЛ,8 790 905,5 302 354,
