1|u (8 mысячах poccuuckux рублей),э1  ~н9,1,1г
Прим,2022,2021,
,,,
Похоль,,,
Рoзuarnawпо пnnomята Гf mnn,nE| ?70,,
1lnnuo г| chdoiт Г [1 гтар 1ой,29 o20,,
2ч Прочие доходы,21,44 474,62 293
,,,
Операционные доходы,7 326 765,9 155 483,
Расходы D ,nE0,сo 1 гa,
вознаграждение агента,(1 0Э9 944),0о4 930),
Расходы на содержание персонала,531 094),(1 328 298),
Прочие операционные расходы,23,(1 076 579) 11n 422),(1 233 937) cn7)
Юроцентные расходы от ооязательств по аренде,(IU 423),6U / ),
Операционные расходы,3 698 040),(6 250 378),
,,,
Резервы под ожидаемые кредитные убытки Чистые доходы по операциям c иностранной валютой,"7,8, 9",669) 2 400 (157,201 1 133
Прибыль до налогообложения,3 473 456,2 906 439,
Расход по налогу на прибыль,24,(738 687),(604 612)
Прибыль от продолжающейся деятельности,2 734 769,2 301 827,
Прибыль от прекращенной деятельности,19,799 178,628 979
Прибыль за отчетный период,3 533 947,2 930 806,
Прочий совокупный доход за год; за вычетом налогов,,,
Итого совокупный доход за год,3 533 947,2 930 806,
