"За год, завершившийся 31 декабря 2022 года","За год, завершившийся 31 декабря 2021 года",
"Прибыль (убыток До вычета налогов всего, ₽ Т.ч",445 971),518 867
Облагаемая по ставкс 13%,,
Облагаемая по ставке 5%,,
Облагаемая по ставке 20%,445 971),518 867
Условный доход расход по налогу на прибыль,89 194,103 773
палоговын эффект ОТ статеи; не ВЛнЯЮщИХ на налогооблагаемую базу В Т ч,(27 136),331)
"Штрафы, пени по налогам",,
He принимаемые к налогообложению административные расходы,247),(1 331)
Прекращение признания части отложенного налогового актива В СВЯЗИ уточнением суммы налогового убытка,,
Уплата налога дохОДов ПО внутригрупповым операциям,(25 888),388)
Уплата налога ПО дивидендам; выплаченным внутри группы,,
Доплата налога за прошлые годы,,
ИТОГО налог на прибыль; в составе совокупного дохода за отчетный год,62 058,(112 496)
