31 де,кабря,31 де,зкабря,,,
Наименование компании,Страна регист- рации,Основная деятельность,"2022 Всего акций, %",2022 Доля владения,"2021 Всего акЦИй,",2021 Доля владения
"HПI ""Воздушныи транспорт Абрау""",РФ,Деятельность воздушного транспорта не подчиняющегося расписанию,100,100,100,100
"ООО ""ТД ""Абрау Юг'",РФ,Оптовая торговля алкогольными и другими напитками,100,100,100,100
"ООО Абрау-Дюрсо""",РФ,Выращивание винограда,100,100,100,100
ООО 'УК 'Донвинпром',РФ,Деятельность по управлению холдинг- компаниями,"68,49","68,49",51,51
"ООО ""Винодельня Ведерниковъ'",РФ,Выращивание винограда,"56 84,","56 84,","75,99","99 75,с"
"АO ""Миллеровский винзавод'",РФ,Производство виноградного вина,"67,37","67,37","50,15","50,15"
ООО < Лоза ,РФ,Производство виноградного вина,100,100,100,100
ООО Агрофирма <АхтаНИЗОВСКаЯ ,РФ,Выращивание винограда,100,100,100,100
ООО Агрофирма <ЮбилейнаЯ ,РФ,Выращивание винограда,100,100,100,100
ООО Винодельня кЮбилейнаЯ ,РФ,Производство вина из винограда,100,100,100,100
ООО Агрофирма кСтраротитаровская,РФ,Выращивание винограда,100,100,100,100
ООО кАбрау Сервис>,РФ,Деятельность по комплексному обслуживанию,100,100,100,100
ООО кИмпериалэ,РФ,Аренда и управление собственным или арендованным недвижимым,100,100,100,100
ООО <Старый городэ,РФ,имущсс Бом Аренда управление собственным или арендованным недвижимым имуществом,100,100,100,100
ООО кАзАабрау ,Азербай джан,Деятельность по управлению ХОлдинг- компаниями,100,100,100,100
ООО <КосмеТех ,РФ,Торговля оптовая парфюмерными и косметическими товяnам|,51,51,51,51
ООО кАбрау-Рестоэ,РФ,Деятельность ресторанов и кафе c полным ресторанным обслуживанием,100,100,100,100
