"закончивши ГоД,",йся 31 декабря 202,,,,
ООО <УК Донвин пром>,АO <Миллеров ский винзавОД>,ООО Винодельня Ведерниковъж,ООО <Восточный Ветер ,ООО <Космет еX ,
Оборотные активы,125 020,277 377,142 951,3 717,4 133
Внеоборотные активы,23 634,89 012,144 443,,
Итого активы:,148 654,366 389,287 394,3 717,4 133
Краткосрочные,го),,,,
обязательства Долгосрочные,( 07 9 ) (2 115),(Uz 410 ) (26 884),(o Joz) (57 185),(z 349),(43 ) (2 652)
обязательства Итого,(z ПJ ),(zo 8о4),0/ 16J ),(2 0J2),
Накопленные неконтпольныр,,,,,
доли участия,107 573,(42 653),5 641,481,215
Выручка,27 316,323 738,76 200,9 740,968
Чистая прибыль/ (убыток,10 247,38 876,18 937,617,567
"Прибыль (убыток) за относящаяся к: ГОД,",10 247,38 876,18 937,617,567
акционерам Компании,5 432,25 235,17 771,423,289
неконтрольным долям владения Эффективная лоля,4 815,13 641,1 166,194,278
меньшинства до 01.10.2022 Эффективная доля,49%,"49,9%",24%,49%,49%
меньшинства € 01.10.2022 и на отчетную дату,"31,51%","30,99%","15,44%","31,51%",49%
