,,,,
По состоянию на 31 декабря 2022,Производство и реализация игристых вин,Прочие сегменты,Управляющая компания,Итого по сегментам
Поступления долгосрочных активов,220 098,857 643,179 202,2 256 943
Активы отчетного сегмента,28 213 429,758 973,5 836 943,38 809 345
Инвестиции,,,,
ассоциированные компании,1 389,1 389,,
Итого активы Группы,,,,
консолидированном,,,,
отчете финансовом,,,,
положении,24 631 715,,,
Обязательства отчетного,,,,
сегмента,14 064 336),3 058 281),805 520),18 928 137)
Итого обязательства,,,,
Группы,,,,
консолидированном,,,,
отчете 0 финансовом,,,,
лекабоя 2021,игристых вин,сегменты,компания,сегментам
Постvпления лолгослочных,,,,
1тvcуплс цUтuсpvтпыА активов,096 723,647 018,567,764 102
Активы отчетного сегмента,27 530 819,3 041 516,5 980 982,36 553 317
Активы отчетного сегмента,27 530 819,3 041 516,5 980 982,36 553 317
АктивЫ отчетного сегмента,LI J3U 6 19,5 04| 910,9 УSU Ч8z,36  23 31
Инвестиции,,,,
ассоциированные компании,1 532,1 532,,
Итого активы Группы,,,,
консолидированном,,,,
отчете 0 финансовом,,,,
положении,21 641 221,,,
Обязательства отчетного,,,,
сегмента,15 531 093),683 410),924 235),19 138 739)
Итого обязательства,,,,
Группы,,,,
консолидированном,,,,
отчете 0 финансовом,,,,
положении,10 364 136,,,
