"За гоД, закон дека",чившийся 31 бря,,
Прим.,2022,202-,
Выручка,13 811 219,11 613 983,
Акциз,(1 947 283),743 499,
Себестоимость,8,(6 334 716),(5 992 826 )
Валовая прибыль,5 529 220,3 877 658,
Коммерческие расходы,8,1 512 962),1 266 541
Административные расходы,(1 228 006),(953 405),
"Прочие операционные доходы и расходы, нетто",10,5 337,568 130
Операционная прибыль,2 793 589,2 225 842,
Финансовые доходы,225 067,59 180,
Финансовые расходы,(697 811),(551 863),
Чистые финансовые расходы,(472 744),(492 683),
"Доля прибыли после налогообложения ассоциированных компаний, учтенных по методу",25,18,32
"Доля прибыли после налогообложения ассоциированных компаний , учтенных по методу долевого участия",25,18,32
Прибыль до налогообложения,2 320 863,733 191,
приоыль до налогоооложения,L 3ZU 803,133 191,
Расходы по налогу на прибыль,11,(548 678,(382 826)
Расходы по налогу на прибыль,11,(548 678 1 772 185,(382 826) 250 ?65
Чистая прибыль,1 1L 1oJ,3JU 302,
Прочий совокупный доход после налога на прибыль,(15 473),,
Итого совокупный доход,756 712,350 365,
"Прибыль за год, относящаяся к:",,,
акционерам Компании,752 092,354 390,
неконтрольным долям владения,20 093,(4 025),
"Совокупный доход за год, относящийся к:",,,
акционерам Компании,1 736 619,354 390,
неконтрольным долям владения,20 093,(4 025),
Прибыль на акцию,29,"0,0177","0,0138"
Разводненная прибыль на акцию,"0,0177","0,0138",
Утвержден и подписан от имени руководства Группы,,,
