"За год, закончивш",ийся 31 декабря,
2022,2021,
Движение денежных средств от операционной деятельности,,
Средства; полученные от покупателей,16 277 421,12 710 568
Выплаты поставщикам,(10 153 319,057 106)
Выплаты работникам,(2 106 504),882 878)
Прочие операционные расходы,(2 066 688,(2 104 645)
Прочие поступления,229 937,195 250
Движение денежных средств от операционной деятельности,2 180 847,1 861 189
Проценты уплаченные,(671 334),(522 881
Платежи по налогу на прибыль,(704 981),(459 472)
"Чистое движение денежных средств, полученных от операционной деятельности",804 532,878 836
Движение денежных средств от инвестиционной деятельности,,
Чистый отток денежных средств в связи c приобретением дочерних компаний,(9 990),(82 975)
приооретением дочерних компании,(9 990),(82 975)
Выплаты по приобретению основных средств,(1 362 226),(745 852)
Выплаты по приобретению основных средств,362 226,745 852)
Выплаты по приобретению основных средств,362 226),(745 852)
Продажа основных средств,190,439 227
продажа основных средств,190,439 227
Займы предоставленные погашенные,60 539,(93 941
Заимы предоставленные погашенные Прочие расходы и доходы по инвестиционной,60 539,(93 941)
Прочие расходы и доходы по инвестиционной деятельности,(30 369,20 887
'рочие расходы и доходы по инвестиционнои деятельности,(30 369),20 887
"н зымч Чистое движение денежных средств, полученных от инвестиционной деятельности",(30 369 ) (1 341 856),20 887 (462 654)
"Чистое движение денежных средств, полученных от инвестиционной деятельности",(1 341 856),(462 654)
чистое движение денежных средств; полученных 01 инвестиционной деятельности,(1 341 856),(462 654)
Движение денежных средств от финансовой,( 341 030),(+04 034)
Движение денежных средств от финансовой деятельности,,
деятельности,,
деятельности Поступлаuма Lna,,
Поступления от кредитов и займов,7 238 591,3 352 394
Погашение кредитов и займов,(6 139 664),(3 540 741)
Юогашение кредитов и заимов,(6 139 664),(3 540 741)
Дивиденды выплаченные,(321 778),(279 693)
Алатежи по прочеи финансовои деятельности,(23 574),
1 ныmспитс непетпых рснч5; получспных ош финансовой деятельности,753 575,(468 040)
тиуvс (умспьшсписугувслиспис дспстпых срсдчтв их эквивалентов,216 25,(51 858)
эоъчэв Денежные спедства и их эквиваленты на начало,1о 2J,(J 1 0Jо)
Денежные средства и их эквиваленты на начало 7111г,,
отчетного периода Куncовые nазницы возникшие по астаткам ленежных,186 141,246 238
"средств и их эквивалентов 1м111 ""m m",(65 745),(8 239)
денежные средства и их эквиваленты на конец отчетного периода,336 647,186 141
