Срок действия*,Сумма гарантии,Оценка финансовой надежности гаранта,
Банковская гарантия AO АКБ кЯпи Креди Банк Москвах (возмещения убытков; вызванных наличием недостатков) Ng 62810004906,декабря 2021,1 146,Высокая
Банковская гарантия (исполнение обязательств по Договору Подряда) АO АКБ ЖЯпи Креди Банк Москва> Ala с2014nnnnoo,,,
Ng 62810003884 Банковская гарантия AO АКБ ЖЯпи Креди Банк Москвах Таnамошноuма ибытvon 5Lnnац 1|А 3|л цопостатvор,7 декабря 2021 г:,5 112 783,Высокая
(возмещения убытков; вызванных наличием недостатков) Ng 62810004941 Банковская гарантия AO АКБ кЯпи Креди Банк Москвах,7 декабря 2021 г:,11 397,Высокая
(возмещения убытков; вызванных наличием недостатков) Ng 62810004944 Банковская гарантия АO АКБ ФЯпи Креди Банк Москвах,7 декабря 2021 г:,21 005,Высокая
(возмещения убытков; вызванных наличием недостатков) Ng 62810004995 Банковская гарантия AО АКБ кЯпи Креди Банк Москвах,7 декабря 2021 г:,7 284,Высокая
вапuвunqz араn | прац цапn шччпqz (возмещения убытков; вызванных наличием недостатков) Ng 62810004997,декабря 2021 г.,209,Высокая
Банковская гарантия АO АКБ кЯпи Креди Банк Москвах (возмещения убытков; вызванных наличием недостатков) Ng 6281000501,лекабоя 20-,12 042,Высокая
Банковская гарантия АО АКБ кЯпи Креди Банк Москвах (возмещения убытков; вызванных наличием недостатков) Ng 62810005458,лекабря 20-,314 347,Рысокаа
Ng 62810005458 Банковская гарантия АO АКБ ЖЯпи Креди Банк Москвах (возмещения убытков; вызванных наличием недостатков) 356 40nnr,декабря 2021 г:,314 347,Высокая
Ng 62810005464 Залог основных средств и прав по договорам на поставку оборудования (исполнение обязательств по погашению и/или возврату Второго ООО кОператор скоростных автомагистралей Северо-Западу по Соглашению об оказании услуг в отношении скоростной автомобильной дороги от 27 ноября 2019 г. по Договору Залога Имишостьа пnan,7 декабря 2021 28 саuтабnа 2026,242 654 245 423,Высокая Rurova
Итого,6 075 290,,
"6 coomeemcmeuu c прuменuмымu условuямu банковскuх еаранn Требованuе, напраеленное 8 пребелах срока deucmeuя банковсг ucmeченuя срока deucmeuя банкоеской :apaнmuu:","Iuu Компанuей направле коб eapaнmuu, dолжно",ны mребованuя ыmь uсполНено,ПО HUM. езавucuмо om
