Прим,2022 г.,2021 г
Выручка по договорам c покупателями,2 937 239,3 578 138
Себестоимость строительства,(228 434),072 275)
Операционные затраты,(2 579 813),(2 386 536)
Валовая прибыль,128 992,119 327
Прочие операционные доходы,694 644,6 876
Прочие операционные затраты,(87 844),(730 788)
Операционная прибыль,1 735 792,(604 585)
Операционная прибыль,1 735 792,(604 585)
Финансовые дохОды,2 744 396,2 695 247
Финансовые расходы,(3 754 823),(3 260 971)
Доход/(убыток) от курсовых разниц,(1 005),(1 671)
Прибылы(убыток) до налогообложения,724 360,171 980)
(Расход)экономия по налогV на прибыль,(93 037),232 558
Прибыль(убыток) за отчетный период,631 323,939 422)
Прочий совокупный доход за отчетный период,,
Итого совокупный доход/ (убыток) за отчетный период,631 323,(939 422)
