Прим:,За гоД закончившийся 31 декабря 2022 года,За год закончившийся 31 декабря 2021 года,
Движение денежных средств от операционной деятельности,,,
Чистая прибыль/(убыток),25 891 854,(65 517 299),
Корректировки по статьям:,,,
Амортизация,476 559,476 559,
Процентные финансовые доходы,10,(1 231 728 850),(335 251 198)
Расход по налогу на прибыль,6 505 766,,
Процентные финансовые расходы,1185 392 246,388 349 279,
(13 462 425),(11 942 659),,
Уменьшение/(увеличение) прочих нефинансовых активов,7 468 579,(8 097 356),
Увеличение/(уменьшение) кредиторской задолженности,163 335 235,,
157 341 389,(20 040 016),,
290 4г,017,,
Проценты полученные,1220 /45 642,917 578,
Налог на прибыль уплаченны,(4171 434),,
Налог на прибыль уплаченный,(4 171 434),,
налог на приоыль уплаченныи Денежные средства; использованные в,14 П71 434) щ102 004200,10 790 440,
Денежные средства; использованные в операционной деятельности,192 084 389,(79 420 649),
Денежные средства; использованные в операционной деятельности,192 084 389,(79 420 649),
Движение денежных средств от инвестиционной деятельности,,,
Возврат предоставленных займов,40 371 007,5 500 0ОО,
Возврат предоставленных займов,40 371 007,5 500 0ОО,
Возврат предоставленных займов,40 371 0U7,5 500 UUO,
Выдача займов,(16 954 521),(14 932 295 830),
Денежные средства использованные в,,,
денежные средства; использованные в инвестиционной деятельности,23 416 486,(14 926 795 830),
Движение денежных средств от финансовой деятельности,,,
2  Увеличение добавочного капитала,22 210,,
Долгосрочные займы полученные,15 0ОО ООО 0ОО,,
Денежные средства поступившие от Финансовой,,,
деятельности,15 0ОО 022 210,,
Чистое поступлениеиспользование] пенежны,,,
Чистое поступление/(использование) денежных средств и их эквивалентов,215 500 875,(6 194 269),
Денежные средства и их эквиваленты на начало года,6 194 269,,
Денежные средства и их эквиваленты на конец периода,215 500 875,,
