1 декабря,,,,
Триме чания,2022,2021,2020,
АКТИВЫ,,,,
ВНЕОБОРОТНЫЕ АКТИВЫ:,,,,
Основные средства,12,2 143,2 497,3 188
Нематериальные активы,,,,
Отложенные налоговые активы,,,,
Итого_внеоборотные_активы,2 143,2 497,3 188,
ОБОРОТНЫЕ АКТИВЫ:,,,,
Запасы (сырье и материалы),13,158 372,936 982,606 622
Незавершенное производство,13,279 971,157 442,129 292
Готовая продукция и товары,13,16 247,14 855,11 001
Дебиторская задолженность покупателей,14,330 390,437 355,319 533
Предоплата,114,382 135,507 857,377 381
Прочие дебиторы включая НДС,14,241 213,301 296,36 796
Текущие налоговые активы,37 740,4 159,,
Финансовые вложения,474 300,437 020,134 550,
Денежные средства и их эквиваленты,495 855,74 936,682 032,
Итого оборотные активы,3 416 224,2 867 743,2 301 365,
ИТОГО АКТИВЫ,3 418 367,2 870 240,2 304 553,
КАПИТАЛ И ОБЯЗАТЕЛЬСТВА,,,,
К АПИТ,,,,
Уставный кяпи,,,,
Нераспрелеленн прибы,394 855,939 975,348 692,
2] 24t Итого капитал,7 ( 394 865, 7 939 985,1го 1з< 348 702,
ДОЛГОСРОЧНЫЕ ОБЯЗАТЕЛЬСТВА:,',,,
Долгосрочные займы полученные,18,1 800 0ОО,1 800 0ОО,1 800 0ОО
Отложенные налоговые обязательства,5,291,,
Итого долгосрочные_обязательства,1 800 0ОО,1 800 005,1 800 291,
КРАТКОСРОЧНЫЕ ОБЯЗАТЕЛЬСТВА:,,,,
Текущая часть краткосрочных кредитов и займов,18,45 439,17 047,17 944
Торговая и прочая кредиторская задолженность,17,178 063,113 203,137 616
Итого краткосрочные обязательства,223 502,130 250,155 560,
