1 2ч L1,Гор,n
2022,6 2021,
ОПЕРАЦИОННАЯ ДЕЯТЕЛЬНОСТЬ:,,
Поступления от продажи товаров,6 814 343,3 793 357
Прочие поступления,39 699,20 070
Платежи поставщикам,(5 427 586),(3 755 423)
Оплата процентов по долговым обязательствам,(286 035),(154 275)
Оплата налога на прибыль,(216 653),(141 654)
Прочие платежи,(245 127),(97 031)
Денежные потоки от операционной_деятельности,678 641,(334 956)
ИНВЕСТИЦИОННАЯ ДЕЯТЕЛЬНОСТЬ:,,
Поступления от возврата предоставленных займов,80 370,57 331
Прочие поступления,94 798,9 560
"Платежи, связанные c приобретением ценных бумаг Платежи связанные приобретением внеоборотных",(102 981),
"Платежи , связанные приобретением внеоборотных активов",(289),
Пенежные ~рeпства использованные в инвестиционно,,
Денежные _средства использованные в финансовой деятельности,(248 901),
"4v,",1,
"САЛЬДО ДЕПЕЛПВIХ Nто^ов ДЕНЕЖНЫЕ СРЕДСТВА И ИХ ЭКВИВАЛЕНТЫ, HA НАЧАЛО",4аU01а,tov / UJо )
"ГОДА ДЕНЕЖНЫЕ СРЕДСТВА И ИХ ЭКВИВАЛЕНТЫ, HA",74 936,682 032
цепелпысагтнон шu шz ээны 9 КОНЕЦ ГОДА,495 855,74 936
КОНЕЦ ГОДА Величина влияния кvDca изменений иностранной,495 855,74 936
осличина выинин_унса меменеиионаnnо валюты,,
,,
VLA; колесниченко Директор,"ЧзVL; оочарниковс ""лавный бухгалте",p
24 апреля 2023 года,,
Новосибирск; Россия,,
