Земля,Здания и сооружен ия,Тоннели,Машины оборудован ие,Плодовые растения (культуры,Актив виде права пользования,Прочее,Плодовые культуры; не достигшие зрелости,Незаверше нное строительс тво,Итого,
Первоначальная cmouмоocmь 1 января 2021,2 006 150,3 454 922,2 024 514,2 691 180,700 118,297 650,956 394,867 778,489 154,13 487 860
2 2,02 nE,,,,,,,,,
Поступления,213 682,15 689 205 11,112 838 21,65 /84 г 0 4nо,175 237,34 66/ 2n0 12j,255 361,872 051,1 745 309 420,
перевод Рыбuтио,'эо 1494 275;,J0э ILo 117 4741,LUz 5П 1e 1 ?26,90/ ЧГJо I70 0201,1138 412,1z0 030 ) (122 6 27,(41z о40 ),(э34 443) 720 217, (Iэz 1Zo ) 025 222),
31 декабря 2021,736 713,3 756 263,2 024 514,2 944 999,282 170,334 475,568 586,710 293,797 745,14 155 758
Аморmuзацuя,,,,,,,,,,
января 2021,(635 0ОО ,004 495),(54 304),(60 709),1296 236),103,,,,
января zuz Начисление,1o39 UUU ),034 3,UU4 439 ),(4 3U4),tou 1UJ |,1zy0 430 ),JUз UO П ),,,
амортизации за,,,,,,,,,,
31 декабря 2021,(810 526),(56 743),320 072),(163 046),(75 124),(326 594),'2 752 105),,,
31 декабря 2021,(810 526),(56 743),320 072),'163 046,(75 124),(326 594),2 752 105),,,
Чucmaя балансовая,,,,,,,,,,
cmouмocmь,,,,,,,,,,
1 января 2021,2 006 150,2 819 922,972 197,686 685,645 814,236 941,660 158,867 778,489 154,11 384 799
31 декабря 2021,736 713,2 945 737,967 771,624 927,1 119 124,259 351,241 992,710 293,797 745,11 403 653
"Авансы, выданные за",,,,,,,,,,
"Авансы, выданные за основные средства",,,,,,,,,,
выданные за основные средства января 2021,34 608,34 608,,,,,,,,
