"закончивши Год,",йся 31 декабря 202,,,,
ООО <УК <Донвин Пром>,АO <Миллеров скии винзавоД ,ООО Винодельня Ведерниковъ ,OОО Восточный Ветерх,ООО <Космет ex ,
Оборотные активы,112 879,198 918,110 993,107,099
Внеоборотные активы,24 149,100 603,119 265,,
Итого активы:,137 028,299 521,230 258,107,099
Краткосрочные,,,,,
обязательства Долгосрочные,(4 321 ) 093,(ПТэ UZO ) (186 283),(41 0J8 ) 36 510),(23/ ),(zz8 )
Итого обязательства:,(6 414),(301 309),77 568),(537),(228 
Накопленные неконтрольные,,,,,
доли участия,102 764,(56 293),4 474,286,(63)
Выручка,17 633,200 406,52 814,5 752,
Чистая прибыль/ (убыток,3 991,(15 426),6 554,413,(129)
"Прибыль/ (убыток) за год, относящаяся к:",3 991,(15 426),6 554,413,(129)
акционерам Компании,2 037,733),4 979,211,(66
неконтрольным долям владения,954,693),575,202,(63)
Эффективная доля,49%,"49,9%",24%,49%,49%
