Го закончившийс,Дг я 31 декабря,,
Приме- чания,2022,2021,
ВЫРУЧКА ОT РЕАЛИЗАЦИИ,6,5 653 517,4 040 587
СЕБЕСТОИМОСТЬ РЕАЛИЗАЦИИ,8,(4 277 573),(3 075 180)
ВАЛОВАЯ ПРИБЫЛЬ,1 375 944,965 407,
Общехозяйственные и административные расходы,(150 191),(134 622),
"Изменения в ожидаемых кредитных убытках, нетто Lnacvo",(105,20,
иpv 1 14 7,120 329,851 502,
 1m2l0 Пm0 (naci,(238 908),(113 197),
7 1и Пa  ~памвциа,881 421,738 305,
в0г ш Ц^ПОг ПЫИЕ|,640),(147 022),
7о3 78 1,591 283,,
1:l 'и,,,
ИТОГО СОВОКУПНЫЙ ДОХОД / (УБЫТОК) ЗА ГОД,703 781,591 283,
