Право нользовання объектом концесснонного соглашення по строительству н эксплуатацни выхода на МКАД с Фсдераль автодороги MI ной,Прано нользовання объектом концессионного соглашения по стронтельству # экснлуатацин участка дублера Кутузовского проспекта,Права лользован ия программ ным обеспечен нем,Товар ный знак,Итого вложения в нематернальн ые активы,
Первоначальная стоимость на 31.12.202Or:,11 179 382,2 302 05],311,13 481 744,
Накопленная амортизация на 3].12.2020 г:,850 287,(233),850 520),,
Остяточная стонмость ня 31.12.2020 г,8 329 095,2 302 051,78,10 631 224,
Поступления,5 75] 608,2 522,5 754 130,,
Амортизационные отчисления,(414 727),166),(39),(414 932),
Первоначальная стоимость на 31.12.202lг:,179 382,8 053 659,2 522,311,9 235 874
Накопленная амортизация на 31.12.202],3 265 014),66,272),265 452),
"Остяточняя стонмость ня 31.12,2021",7 914 368,8 053 659,2 356,39,15 970 423
Поступления,14 600 188,3 347,14 603 535,,
Амортизационные отчисления,(414 726),233),(39),415 998),
Первоначальная стоимость на 3 1.12.2022г:,11 179 382,22 653 847,5 869,31],33 839 409
Накопленная амортизация на 31.12.2022 г.,679 740),399),11),681 450)),
Остаточная стонность на 31.12.2022 г.,7 499 642,22 653 847,470,30 157 959,
