Справедлнвая стоим,ость по уровням,ходных данных,Итого справсдливая стаимость,Атого илансовая тоимость,
посредственно Ко блюдаемые на нночные данные ры овень ],венно людаемые чочныс данные Овень 2,He наблюдаемые рыноцныс данныс (уровснь 3),,,
Финансовые активы,,,,,
Денсжные средства и их эквиваенты,783 705,4 783 705,733 705,,
Депозиты ₽ банках,20 53] 128,20 531 128,20 531 128,,
Финансовыс активы; оцениваемые по справедливой стоимости через прочий совокупный доход (доли обществах ограниченной отнетственностью ),возможности определ,ить справедливую,тоимОстЬ,79,
Ценныс бумаги; оцениваемые пО амортизированной стоимости,343 494,343 494,343 494,,
Деоиторская задолженность,449 288,449 288,449 288,,
Итого финансовых активов,783 705,20 531 128,792 782,26 107 615,26 107 694
Финансовыс обязатсльства,,,,,
Займы получснные и выпущенные облигацни,15 852 315,61 798 964,77 651 279,75 097 935,
Кредиторская задолженность части; подлсжашей оплате деньгамн ,2 308 030,2 308 030,2 308 030,,
Итого финансовых обязатсльстн,15 852 315,64 106 994,79 959 309,77 405 965,
Далее представлена информа,ИЯ справедлин,оЙ стоимости,уровнях иер,архии исходнь,IX данных
