31 декабря 2020 года,Отражено в составе прибыли или убытка,Отражено в составе прочего совокупного дохода,Эффект от объединения бизнеса,31 декабря 2021 года,Отражено в составе прибыли или убытка,Отражено в составе прочего совокупного дохода,31 декабря 2022 года,
Налоговый эффект вычитаемых временных разниц,,,,,,,,
"Денежные средства, их эквиваленты и",,,,,,,,
средства в финансовых организациях,"1,2","0,8","2,0","2 UUЧ,9","2 Ull,g",,,
Финансовые активы; оцениваемые по ССЧОПУ,"7,8","1l,5","334,5","346,0",,,,
Финансовые активы; оцениваемые по ССЧПСД,"11,8","468,4","1 409,6","1 889,8","1 064,3","(16,8)","2 937,3",
Основные средства,"25,4","(5,5)","19,9","U,l","2U,0",,,
Нематериальные активы,"17,6","18,0","35,6","18,8","54,4",,,
Прочие активы,"727,2","(229,0)",17,"499,9","(121,5)","378,4",,
Кредиторская задолженность по выплате депонентам доходов ПО Панным fvмагам,,,,,,,,
цсппын uумагат Ппоuма ОБазатопьстьа,е70,042,170,1 121 9,,,,
трочис оояза сльс,"07U,J","17y,э",1z1y,,,,,
Срецства клиентов,92,,,,,,,
Напоговыа vhытки перанесенные на бvлvшие прпиолы,,,,,,,,
Итого налоговый эффект нышиаамн впыманны,1 473,534 2,409,3 419 2,4 883 8,(16 8),8 986 2,
,,,,,,,,
средства в Финансовых организаци,371.9),"376,0)",,,,,,
Финансовые активы  оцениваемые по ССЧОПУ,"(116,6)","42,7","(73,9'","108,2)","(182,1)",,,
Финансовые активы оцениваемые по ССчПСД,"879,2)","879,2","(4,3)","4,3)",,,,
Основные средства,"(378,1)","58,1","320,0)","(0,2)","320,2)",,,
Нематериальные активы,"(2 186,8)","232,0","(104,2)","2 059,0)","254,9","(1 804,1)",,
Прочие активы,"(6,0)","6,1","(0,1)","(0,7)","(0,7)",,,
Прочие обязательства,"(1,6)","1,3","(0,5)","(0,8)","(0,9)","(1,7)",,
Итого налоговый эффект налогооблагаемых временных разниц,"(3 568,3)","1 215,3","(104,8)","(2 457,8)","(1 231,3)","(3 689,1)",,
Отложенные налоговые активы,"72,6","1 079,5","1 409,6","2,0","2 563,7","3 514,3","(16,8)","6 061,2"
Отложенные налоговые обязательства,"(2 167,5)","670,0","(104,8)","602,3)","138,2","464,1)",,
