Право на строительство и эксплуатацию Объекта Концессионного соглашения,Прочее,Итого,
чальная стоимость,,,
жкабря 2020 г,1 331 794,22 417,1 354 211
еНИЯ,4 329,4 329,
5 914),(5 914),,
жкаоря 2021,1 331 794,20 832,1 352 626
:НИЯ,1780 171p,1 780 1,
Iабna,(256) 99 2_,'256) 4а,
аоря zuzz,33 1 1чч,e< 3 о,394 IJU
ацин 2u,7 ,,
каоря 2020 г,(275 691),(6 884),(282 575)
зэния Примечание 6),54,(52 840),
5 900,5 900,,
кабря 2021,(326 232),283),(329 515)
зния (Примечание 6,50 541',629},652 170)
256,256,,
кабря 2022 г,(376 773),656},(381 429)
5алансовая стоимость,,,
кабря 2021 г:,1 005 562,17 549,1 023 111
кабря 2022 г:,955 021,17 700,972 721
верки нематериальных акТИЕ,"ОB, основных средств и ан",тива в форме,рава
ания на обесценение на 31,екабря 2022 возмещаем,ая стоимость 6,ыла
