Оценочные обязательства,Оценочные обязательства по осуществ- лению ремонта объекта Концессион- ного соглашения,Оценочное обязательство по выплате неустоек и штрафных баллов адрес Концедента,Оценочное обязательство по выплате штрафов; неустоек; прочее,Итого
Оценочные обязательства по осуществ- лению ремонта объекта Концессион- ного соглашения,Оценочное обязательство по выплате неустоек и штрафных баллов в адрес Концедента,Оценочное обязательство по выплате штрафов; неустоек; прочее,Итого,
нваря 2021,906 475,906 475,,
ормированные в течение периода,,,,
римечание,1 0U5 918,160 063,1 165 981,
эртизация дисконта яримечание 8),25 94 /,25 947,,
юользование резерва,(287 972),(287 972),,
декабря 2021,031 865,1 778 566,2 810 431,
ормированные в течение периода,,,,
римечание 6,922 627,87 844,1 010 471,
становление неиспользованных CVMм,566 03,566 031,,
эртизация дискОНТа Примечание 8,147 238,147 238,,
ользование резерва,(212 535),(212 535),,
декабря 2022 г_,2 101 730,87 844,2 189 574,
ткосрочные,909 903,87 844,997 747,
1гОсрочные,191 827,191 827,,
пгосрочные оценочные обязатель,ства были пред,ставлены оце,НОЧНЫМИ обяза,тельства по
ществлению ремонта объекта Ко,нцессионного,эглашения,,
