которые c течением в,емени Mо,гут уточня,тЬся):,,,,
31 декабря 2022 r,По требо- ванию,Менее 3 месяцев,3-12 месяцев,1-5 лет,>5 лет,Итого,Бапансовая стоимость
Кредиты; займы и облигации; включая проценты к уплате (п 17,937 331,779 765,080 851,5 557 630,15 123 797,31 479 374,18 231 91
Кредиты и займы с возможностью досрочНОго погашоuмах |п,772 520,snon 792,12 291,7e~ 1о,Ena 04e,,
Кредиторская задолженность 19,317 479,317 479,317 479,,,,
Обязательства по аренде 20),661,4 984,24 367,24 903,,,
Итого,7 937 331,2 098 905,5 859 464,11 962 780,27 445 545,55 304 025,28 078 139
,,,,,,,
Прu pacчeme проценmоe по пл разeumuя,авающей cmaer,"e, прuвязанноб",к ИПЦ; прuменен,проаноз; cdeг,анный MuHucme,pcmeом экОНОМ,uческоёо
По требо-,Менее,Бапансовая,,,,,
3 ! цскачря aur Кредиты; займы и облигации;,вапик,шеаяцев,9кшчынцны,элe,~оле,шnuо,шоишонь
включая проценты к уплате (п: 17) Кредиты и займы с,9 150 911,926 707,279 300,6 262 574,16 106 695,33 726 187,19 749 896
возможностЬю досрочного погашения* (п: 17) Кредиторская задолженность,6 945 904,17 246 347,24 192 251,8 557 570,,,
(п: 19) Обазатепьства по арвнПе,428 839,1 132 775,561 614,1 561 614,,,
(п. 20),766,3 020,4 786,4 639,,,
Итого,9 150 911,357 312,2 415 095,13 208 478,33 353 042,59 484 838,29 873 719
Субороuнuрованные кpedumы,u зашмы:,,,,,,
Прu paсчеme проценmоe по развumuя,авающей cmaeF,прuвязаннош,ИПЦ; прuменен,проаноз; соел,анный MuHucme,эрсmeом эконом,uческоео
