Прим:,Уставный капитал,Добавочный капитал,Накопленный убыток,Итого Дефицит капитала
Остаток на 1 января 2021 года,15 0ОО,5 095 0ОО,(2139 845),2 970 155
Чистый убыток за 2021 год,(65 517 299),(65 517 299),,
Прочий совокупный доход,,,,
Итого совокупный убыток Увеличение,(65 517 299),(65 517 299),,
уоопок Увеличение добавочного капитала,2 220 997,2 220 997,,
Остаток на 31 декабря 2021 года,15 0ОО,7315 997,(67 657 144),(60 326 147)
Чистая прибыль за 2022 год,25 891 854,25 891 854,,
Прочий совокупный доход,,,,
Итого совокупный ДОХОД,25 891 854,25 891 854,,
Остаток на 31 декабря 2022 года,15 0ОО,7 315 997,(41 765 290),(34 434 293)
