Прим:,31 декабря 2022 года,31 декабря 2021 года,
Выручка,1 096 667,,
Административные расходы,(12 943 994),(13 627 121),
Убыток от операционной деятельности,(11 847 327),(13 627 121),
Процентные финансовые доходы,10,1231 728 850,335 251 198
Процентные финансовые расходы,(1185 392 246),(388 349 279),
Курсовые разницы и прочие финансовые доходы и расходы,(2 091 657),,
Прибыль (убыток) до налогообложения,32 397 620,(66 725 202),
(Расход) /доход по налогу на прибыль,(6 505 766),1207 903,
Чистая прибыль/ (убыток),25 891 854,(65 517 299),
Прочая совокупная прибыль/ (убыток),,,
ИТОГО СОВОКУПНАЯ ПРИБЫЛЬ(УБЫТОК),25 891 854,(65 517 299),
