Ha 31 декабря,,,,
Приме- чания,2022,2021,2020,
АКТИВЫ,,,,
Внеоборотные активы,,,,
Основные средства,15,143 964,943 453,795 061
Нематериальные активы,21 151,19 658,16 436,
Прочие финансовые активы,16,8 447,6 623,5 983
Отложенные налоговые активы,14,23 922,12 419,55 439
Прочие внеоборотные активы,18,25 695,25 697,24 202
1 223 179,1 007 850,897 121,,
Оборотные активы,771 0nг,0оz,,
апасы йп,Io,о4 07 4 [n |n7,z24 029 9 19 1,Iol JoJ nn.0
торговая и прочая дсоиторская задолжснность,9J 053 [[п,54 7zI 7n₽,3J 00/ n 1 -,
Авансы выданные и расходы оудущих периодов,15 DJU Zf1[1{1,0 555 11 г1{11,"9 J41 H ,111",
прочие финансовые активы,10,2 ОJJ 71 111 -,ZUU 71 |-- ' 1,4 21 9 1гт
ньансовыс ПЛатежи ПU налогу Ha причыль,zUl [nn,Iu 9n ,DuJ 0nz,
"npvqnс палогн ьоэмещспн1 1та5т:ттта ът 17ътт ~11 ,|16]р 21] 1]]|",5)l,22 257,JU 97 412 na 4,0zu 292 Е12
Tpvqис vvvнvlnыv,z0 591 227,4uU 733 318,0z / 632 357,
ИТОГО АКТИВЫ,1 814 406,1 741 168,1 529 478,
КАПИТАЛ И ОЬЯЗАТ ЕЛЬСТВА,,,,
Уставный капитал,22,190,191,197
Эмиссионный лоход,38 122,38 319,39 464,
Собственные акции выкупленные у акционеров,22,(21 997),,
Резерв накопленных курсовых разниц и прочие резервы,28 586,25 023,19 632,
гезерв накопленных курсовых Разниц и прочис резсрвы Наnaсппвпатенняс пэнэ,z0 Jоо 424 nFE,2J UzJ 222 211,1J 0J2 227 9f 1,
пераспределенная приоыль Faт,434 UOJ,zJ2 311,25/ JOl,
кашнтал причитающинся акционерам,,,,
материнской компании,500 963,273 847,297 254,
Матсринскои компан Неконтролирvшие ЛОЛI,JUU Jо3 101 497,413 04 / 81 889,23 / э4 47 879,
Неконтролирующие доли,23,101 497,81 889,47 879
602 460,355 736,345 133,,
Долгосрочные обязательства,,,,
Кредиты и займы,24,505 564,640 074,710 858
крvдн Ойазятетъствя T1 21] ыn11u,25,12 272,12 26o,15 012
Оненочнке обязатепьства,64 446,66 382,41 ?55,
Социальные обязательства,27,43 111,47 036,6 191
Социальные ооязательства Тоnтовая,43 Ill,4/ 036,6 1JI,
IUpi овая рvая дол осрvчпая кpeдитupvnая залолженность,3 995,062,403,
Производные финансовые инструменты,30,680,5 374,3 817
Отложенные налоговые обязательства,29 186,5 415,3 211,
Прочие долгосрочные обязательства,29,6 636,3 286,1 678
670 990,784 897,784 526,,
Краткосрочные обязательства,,,,
Кредиты и займы,24,302 129,119 616,851
Обязательства по аренде,25,3 076,4 237,4 361
"арепд Тnrоъ 11 T,ттл 'T 11Т ттл| | 'T Ттт ,",99,а7 011,1ГE 279,1nE qo9
Торговая и прочая кредиторская задолженность,28,97 214,165 279,105 489
Дивиденды к уплате,31,34 860,233 698,3 447
Обязательства по вознаграждениям работникам,29,41 175,30 990,29 629
Оценочные обязательства,26,12 641,10 817,159 655
Социальные обязательства,27,14 152,11 754,120
Производные финансовые инструменты,30,1 135,6 854,
Обязательства по налогу на прибыль,11 969,3 011,26 465,
Прочие налоговые обязательства,17,23 740,19 998,24 329
Прочие краткосрочные обязательства,36,31 619,,
540 956,600 535,399 819,,
ИТОГО ОБЯЗАТЕЛЬСТВА,1 211 946,1 385 432,1 184 345,
ИТОГО КАПИТАЛ И ОБЯЗАТЕЛЬСТВА,814 406,1 741 168,1 529 478,
