"За год, зако",нчившийся 31 де,кабря,
2022,2021,2020,
ОПЕРАЦИОННАЯ ДЕЯТЕЛЬНОСТЬ,,,
Прибыль до налогообложения,538 083,681 621,335 267
Корректировки:,,,
Износ и амортизация,68 251,68 312,68 055
Убыток от обесценения нефинансовых,,,
активов нетто (Примечание 15),5 658,3 689,22 853
Убыток от выбытия основных средств,495,2 601,1 396
Убыток/ (прибыль) от выбытия дочерних организаций и зарубежных,,,
дочерних организаций и зарубежных совместных операций (Примечание Пa 21),9 535,1 636,370)
Изменение оценочных обязательств Примечания 26 и 27),11 503,66 284,174 280
Финансовые расхолы,,,
прибыль от инвестиционной,,,
деятельности нетто (Примечания 12 и 13,25 228,16 660,57 896
(Положительные )/отрицательные курсовые,,,
"разницы, нетто",(26 800),3 992,69 664
Прочие,(10 130),2 615,7 977
Прочие,(10 130),2 615,7 977
625 823,847 410,736 018,
Изменения в оборотном капитале:,,,
Запасы,(111 718),(58 726),875)
Эчпчuы,7lU ) 797 0€4,(o 720) 2 nn7,079 ) С 1
Торговая и прочая дебиторская задолженность,(27 964),3 UU7,(II 617)
Авансы выданные и расходы будущих периодов,6 346),(2 139),2 136)
ньансы ьыданныс И Расходы оудущих псриодов,(U .+0) 71 1 4 1 01,1JJ) 7F 1,IJU) 2c7
Прочие налоги к возмещению,(11 418),2 251,267
Оna?атепLстра по во?цагра пениам паhотuи,915,47г,
Обязательства по вознаграждениям работникам,11 815,2 475,1 547
Торговая и прочая кредиторская задолженность,(83 716),48 488,(6 797)
Торговая и прочая кредиторская задолженность,(83 716),48 488,(6 797)
Оценочные обязательства,(11 828),(159 347),(13 708)
Ацена ные оUзасльс ПLыс,040 ) 1 2 120,UJJ 01,VJ / UU ) ron
Прочие налоговые обязательства,13 139,(19172,(5 580)
Денежные средства; полученные от операнионной пеятепъности,397 787,681 502,697
операционной деятельности Напог ца пnuбL шП пянец,397 787 (74 475),681 502 (162 941,697 119 (9? 69m)
Налог на прибыль уплаченный,(74 475),(162 841),(93 690)
Денежные средства; полученные от,,,
VHRHC,,,
ип.вешциоппи цuлiuJibnvvi,7909 оzn,11 0 01 Г ),(122 270)
Приобретение основных средств,(282 950),(197 015),(123 278)
Приооретение основных средств,(282 95U ),(/ 0lэ),(123 z/8)
[риооретение доли в ассоциированных предприятиях,301),563 ),U23 )
Ариооретение нематериальных активов,4 863),(5 51э),5 459)
Займы выданные,(24),(422),(209)
Поступления от погашения заимов выданных,416,3 l64,2 65 /
Изменение величины размещенных депозитов; нетто,,,
римечание 16),3 565,(2 6U6),(283)
пiuvI Налпзацин UCпUBпых ерсдс_ Чистый (отток)/приток от выбытия,Uuu,,
цотчрпих Upi заруос совместных операций (Примечание 21),472),3 469,2 113
Проценты и прочие инвестиционные доходы полученные,12 539,6 450,4 608
Денежные средства; направленные на инвестиционную деятельность; нетто,(276 432),193 603),(120 813)
