6,СЕГМЕНТЫ (ПРОДОЛЖЕНИЕ),,,,,,,,
За год; закончившийся 31 декабря 2020 года,Группа ГМК,Южный кластер,Группа КГМК,NN Harjavalta,ГРК Быстринское,Прочие добываю- щие,Прочие не- металлур- гические,Исклю- чено,Итого
Выручка от реализации внешним контран,гентам,,,,,,,,
Выручка от реализации металлов,388 051,496 401,68 754,64 715,9 289,48 915,1 076 125,,
Выручка от прочей реализации,1l 182,22,1 935,373,226,539,26 567,40 844,
Выручка от реализации другим сегментам,,,,,,,,,
Выручка от реализации металлов,495 956,38 633,143 535,25 6U8,IIU,(TIU 844),,,
выручка 01 прочси рсализации,1J IzJ,Jou,24 Jzu,l 14U ),,,,,
Итого выручка,910 312,50 235,641 928,94 762,72 478,9 829,100 009,'762 584),1 116 969
Сегментная EBIIDA Henac,443 580,29 483,125 077,4 507,52 161,(852),2 294,(36 431),619 819 (Е7 Аг4)
ппn 9а-,,,,,,,,,
понсолидированная шышiuн Иалс,JJz u0J (co nEE,,,,,,,,
аmup Vбыток от обестенения,,,,,,,,,
нефинансовых активов; нетто,(22 853),,,,,,,,
"нефинансовых активов, нетто",(22 853),,,,,,,,
нефинансовых активов; нетто,(22 853),,,,,,,,
Финансовые расхолы нетто,(63 147),,,,,,,,
Финансовые расходы; нетто,(63 14/),,,,,,,,
Отринательные кVnсовые разнить нетто,(69 664,,,,,,,,
"Отрицательные курсовые разницы, нетто Прибыль от инвестиционной",(69 664,,,,,,,,
Отрицательные курсовые разницы; нетто Прибыль от инвестиционной деятельности и убыток от выбытия,(69 664),,,,,,,,
Прибыль от инвестиционной деятельности и убыток от выбытия дочерних организаций,6 621,,,,,,,,
дочсрних орг анизаЦИн,021,,,,,,,,
Прибыль до налогообложения,335 267,,,,,,,,
приоыль до налогоооложения,Ппnиe,Прочие не-,335 26/,,,,,,
Группа,Южный,Группа,NN,ГРК,Прочие добываю-,Прочие не- металлур-,Нераспре-,,
Процив ruacnauuа Панаяьuа итспона,ГМК моа ста;,кластер,КГМК,Harjavalta,Быстринское,щие,гические,деленные,Итого
Прочие существенные денежные и недене:,тк жные стать,кластер,ш ек,HarJavalta,ьыстринское,щие,тические,деленные,итого
шpu tJ тысппыс ценсmныс псдспс Поиобретение основных средств,,,,,,,,,
и нематериальных активов,93 285,8 359,11 375,268,6 954,180,7 316,128 737,
Износ и амортизация,42 646,2 001,11 161,2 293,7 913,85,1 956,68 055,
Убыток от обесценения,,,,,,,,,
нефинансовых активов; нетто,3 245,19 496,73,35,22 853,,,,
Изменение резервов,166 306,11,070),(24),1 487,101,469,174 280,
