15.,ОСНОВНЫЕ СРЕДСТВА,(ПРОДОЛЖ,{ЕНИЕ),,,
Основн пользования,ые средства не относящи обогаг,активы в фо еся к добычс щению,рме права e и первичному,,,
Основные средства; используемые для добычи и первичного,"Здания, сооружения инфра- структура","Машины, оборудова- ние и транспорт",Прочие основные средства,Незавершенное капитальное строительство,Итого,
Накопленная амортизация обесценение,,,,,,
Остаток на января 2020 года,(195 550),109 003),(141 507),(8 617),9 894),(464 571)
Амортизационные отчисления,(33 552),(12 481),(24 379),708),(72 120),
Выбытия Убыток от,1 945,1 291,1 819,103,705,5 863
Убыток от обесценения; нетто,(18 259),095),308),(14,(177),(22 853)
Выбытие в связи c продажей дочерних организаций,,,,,,
дочерних организации,,,,,,
(Примечание 21 ) Mnnuвa,3 449 гn7,3 449 Eа9,,,,
Прочее Эффект пересчета в валюту,607,628,,,,
представления,822),(650),2 284),(53,(5 809),
Остаток на 31 декабря 2020 года,(244 182),(123 990),(167 588),(10 286),9 367,(555 413)
Амортизационные отчисления,(35 245),(13 174),(26 297),751),(76 467),
Выбытия,4 210,3 753,6 552,2 347,403,17 265
Выбытия Vбыток от,4 210,3 753,6 552,2 347,403,17 265
Убыток от аrii₽,20,,,,,
"обесценения, нетто",9 069),5 419,921,(139),(821),689)
vvvuцепс Прочее,UUJ ) 305,296,70,(iJJ) 138,(z,uuu y 809
Прочее,305,296,70,138,809,
npuчсс Эффект пересчета в валюту,zJ0,uuu,,,,
представления,1 198,(102),16,1 115,,
Остаток на 31 декабря 2021 года,(282 783),(127 693),(186 444),675),785),(616 380)
Амортизационные отчисления,(37 734),(12 458),(28 243),191),(81 626),
Выбытия VйLтot,5 145,4 027,7 520,484,586,17 762
"ULl 14 обесценения, нетто",(3 452),(1 027),(769),124,(534),(5 658)
Прочее,(134),(128),(523),556,(224),
эффект пересчета в валюту представления,224,870,1 102,,,
Остаток на 31 декабря 2022 года,(318 958),(137 055),(207 589),(11 694),728),(685 024)
Остаточная стоимость,,,,,,
Ha 31 декабря 2020 года,440 905,111 519,119 353,9 788,113 496,795 061
Ha 31 декабря 2021 года,496 645,127 592,128 174,9 015,182 027,943 453
Ha 31 декабря 2022 года,560 593,146 778,145 624,16 004,274 965,1 143 964
