6 Iu,ллчонах poccuucкux руолеч,,,
15.,ОСНОВНЫЕ СРЕДСТВА (ПРОД,ОЛЖЕНИЕ),,
Активы в форме права пользоваю,"ИЯ Здания, сооружения и инфраструктура","Машины, оборудование и транспорт",Прочие активы в форме права пользования,Итого
Остаток на 1 января 2020 года Приобретение активов в форме права,8 626,4 050,450,13 126
пользьапня псрсоцепка uvnid по аренде Постутления GRqRu пэиабретение,(547),4 984,353,4 790
Поступления в связи c приооретением дочерних организаций,1 841,1 841,,
Амортизация,446),(873),190),(2 509)
Эффект пересчета в валюту представления,44,55,,
Остаток на 31 лекабря 2020 гола,8 518,8 170,615,17 303
Приобретение активов в форме права,,,,
по аренде,528,1 345,560,2 433
Амортизация,184),505),(148),837)
Остаток на 31 декабря 2021 года,6 862,8 010,1 027,15 899
Приобретение активов в форме права пользования переоценка обязательств ПО аренде,570,752,918,10 240
Выбытия (Примечание 2,(256),(6 630),(227,(7 113)
Амортизация,(2 203),(628),(271),102)
Эффект пересчета в валюту представления,(10),,,
Остаток на 31 декабря 2022 года,11 966,2 502,1 446,15 914
16.,ПРОЧИЕ ФИНАНСОВЫЕ АКТИ,ВЫ,,
