Ha 31 декабря 2022 года,Итого,В течение первого года,B течение второго тода,В течение третьего года,В течение четвертого года,В течение пятого года,В после- дующие годы
Крелиты и займ,ы фиксиnо,ванной ставк,й,,,,
Основная сумма,,,,,,,
долга,283 008,70 338,77 753,99 748,35 169,,
Проценты,27 242,10 890,9 448,5 919,985,,
310 250,81 228,87 201,105 667,36 154,,,
Кредиты и займ,ы с плаваюш,ей ставкой,,,,,
Основная сумма,,,,,,,
долга,J26 693 1r 1п,232 303 0n,140 340 Г{,Il/ /0,2J Iol 1),JU6,
иnn,1U,4nn,,,,,
Tna,JUU 4Jz aauia,е4ч е4а,IJu JUU,IeJ 4Uu,JU UU/,JJU,
Обязательства,,,,,,,
по аренде,36 667,4 426,3 816,2 397,1 600,1 443,22 985
Валютно-процен,ттный своп,,,,,,
К погашению,26 341,739,25 602,,,,
К получению,(25 891),626),(24 265),,,,
450,887,1 337,,,,,
Итого,907 860,334 016,249 254,231 473,67 821,1 960,23 335
