35.,УПРАВЛЕНИ,Е ФИНА,НСОВЫМЕ,1 РИСКАМ,И (ПРОДО,ЛЖЕНИЕ),
Ha 31 декабря 2021 года,Итого,B течение первого года,В течение второго года,В течение третьего года,В течение четвертого года,В течение пятого года,В после- дующие годы
Кредиты и займь,фиксирог,занной ставкс,,,,,
Основная сумма,,,,,,,
долга,341 057,111 752,74 293,80 719,37 147,37 146,
Проценты,30 244,14 368,186,5 663,1 987,1 040,
371 301,126 120,81 479,86 382,39 134,38 186,,
Кредиты и займь,с плаваюш,ей ставкой,,,,,
Основная сумма,,,,,,,
долга,421 / U4,7 9/0 ~n,IOU J43 лаг,1JJ JOl оэг,42 035 nnn,JU 244 Гn 0,JzJ
проценты,10 515,JU4,2JJ,JJJ,UJz,DJ0,
4J0 Ui /,14 4OU,I10o 44U,IJo Jо,40 00J,JU /02,9u4,
Обязательства по аренде,20 788,4 820,3 744,3 400,2 301,1 522,5 001
по аренде,2U 788,4 820,744,4UU,2 301,J22,UUI
Валютно-процен,гныЙ cвоП,,,,,,
К погашению,31 581,864,864,29 853,,,
К получению,(30 385),795),795),(26 795),,,
К получению,(30 385),(1 795),1 795),(26 795),,,
получснию,3053922 7nn,7J) 7021,1JЭ) r021,20 .JJ) пr 0,,,
1 196,(931),(931),3 058,,,,
051 nnn,2гn г22,9г 1 Пгп,Г0?г,,,,
Итого,831 302,144 489,250 532,251 756,88 100,90 490,5 935
итого,631 3U2,144 4оJ R течение,ZJU 332 очонив,zu1 IJ0 R течение,66 IUU R течение,JU 4JU точенме,933 пnеПе_
Ha 31 лекабоя,B течение пепвого,В течение втоnoro,В течение третьего,В течение четвертого,В течение пятого,В после- пушие,
Ha 31 декабря,B течение первого,B течение второго,B течение третьего,B течение четвертого,В течение ПЯТоГо,B после- дующие,
Ha 31 декабря 2020 года,Итого,первого года,второго года,третьего года,четвертого года,ПЯТоГо года,дующие годы
2020 года,Итого,года,года,года,года,года,годы
Кредиты и займь,фиксирог,занной ставкс,,,,,
преди ,фикvпpо,,,,,,
Основная сумма,,,,,,,
основная сумма,212,72 97с,26 02о,,,,
долга,317 659,313,111 126,73 876,80 406,36 938,15 000
Проценты,48 493,15 749,14 999,857,6 343,2 677,868
Кредиты и займь,плаваюн,ей ставкой,,,,,
Основная сумма,,,,,,,
долга,397 927,565,25 462,189 024,151 805,29 5l1,1 560
Ароценты,23 057,624,44U,2 IZU,103,,
420 984,8 306,33 086,194 464,153 925,29 614,1 589,
Обязательства бя?ятетьства,аренде,,,,,,
оvлэасльетыа по аренде,21 706,4 577,4 601,3 578,3 156,1 998,3 796
Валютно-процен,гный своп,,,,,,
К погашению,100 687,69 283,859,859,29 686,,
К получению,(96 328),(65 943),795),795),(26 795),,
4 359,3 340,(936),(936),2 891,,,
Итого,813 201,32 285,162 876,278 839,246 721,71 227,21 253
