37,ФИНАНСОВЫЕ ВЛС,ЖЕНИЯ В К,РУПНЕЙШИЕ,ОЧЕРНИЕ,РГАНИЗАЦ,ИИ
Эффектив,ая доля собственг,ОстИ -,,,,
Дочерние организации по операционным сегментам,Страна,Вид деятельности,Ha 31 декабря 2022 года,Ha 31 декабря 2021 года,Ha 31 декабря 2020   года,
Группа ГМК,Аренда движимого и,,,,,
АO <Норильский комбинатэ,Российская Федерация,недвижимого имущества,100,100,100,
АO (Норильскгазпромх,госсииская Федерация,Добыча газа,100,100,100,
АO (Норильсктрансгазж,тоссииская Федерация,яранспортировка газа,100,100,100,
АO <НТЭК>,[] Федерация,Электроэнергетика,100,100,100,
ООО <ЗСКэ,1 Ucvнnunax Федерация,Строительство,100,100,100,
ооv <Норильскникельремонтэ,Россииская Федерация,Ремонт,100,100,100,
qIIUpnльскин обеспечивающий комплексэ Южный кластер,1 Ucvнnunax Федерация,оIvлепнс запчастей,100,100,100,
кМелвежий nvчейэ,Российская Фелерания,орная мета,,,,
Envпna,,,,,,
Российская (Петвра,,,,,,
<Печенгастnо,Российская Фелерания,Ремонл,100,,,
Norilsk Nickel Harjavalta Norilsk Nicke] Hariavalta,Фит,Металлуnгия,,,,
ГРК Быстринское,,,,,,
ООО <ГРК <Быстринскоех,Российская Федерация,Горная металлургия,50.01,50.01,50.01,
кВостокгеология>,Российская Фелерашия,еологические работы строительство,100,,,
Прочие неметаллургические,,,,,,
Metal Trade Overseas A.G,Швейцария,Сбытовая деятельность,100,100,100,
Metal Trade Overseas A.G,Швейцария,деятельность аuTonaq,100,100,100,
Norilsk Nickel (Asia) Limited Narilck Nickal Mata] Тrada,Гонконг,сvbповая деятельность аuTonaq,100,100,100,
(Shanghai),Китай,деятельность Сбытовая,100,100,100,
"Norilsk Nickel USA, Inc #Инстит",США Российскаg,деятельность,100,100,100,
vvv (ИНUГИlУI Гипроникельх,1uсvнncкdЯ Федерация,Исследования,100,100,100,
АO <ТТК>,Федерация Российская,Поставка топлива,100,100,100,
АO <ЕРПэ ООО <Аэропорт,Федерация Российская,Речное судоходство,100,100,100,
<Норильскэ,Федерация Российская,Аэропорт,100,100,100,
АO <АK <НордСтар>,Федерация,Авиаперевозки,100,100,,
Эффектив,ая доля собственн,"ости, %",,,,
Совместные операции по отчетным сегментам,Страна,Вид деятельности,Ha 31 декабря 2022 года,Ha 31 декабря 2021 года,Ha 31 декабря 2020 года,
Прочие добывающие,Южно-,,,,,
Nkomati Nickel Mine,Африканская Республика,Горная металлургия,50,50,50,
