(8 mысячах poccuucкux рублей),31 декабря 2022 года,31 декабря 2021 года
Займы; выданные третьим лицам (в российских рублях) долгосрочная часть,22 284 399,11 015 743
"Займы, выданные третьим лицам (в долларах США) долгосрочная часть",27 227 883,
"Займы, выданные связанным сторонам (в российских рублях) долгосрочная часть (Прим. 17)",11 340 555,
"Займы, выданные связанным сторонам (в долларах США) долгосрочная часть (Прим 17)",29 033 292,
Резерв по обесценению выданных займов долгосрочная часть,(20 125 617),(10 359 237)
Итого займы выданные; долгосрочная часть,29 386 665,41 030 353
"Займы, выданные третьим лицам (в долларах США) краткосрочная часть",495 325,
Займы выданные связанным сторонам (в долларах США) Tnnтъr 1111| Тнnт Intai,705 882,
Резерв по обесценению выданных займов краткосрочная часть,(275 584),(173 483)
"Итого займы выданные, краткосрочная часть",219 741,532 399
Итого займы выданные,29 606 406,41 562 752
