Наименование показателя,Активы в форме прав пользования,Офисное компью- терное оборудо- вание,Транспорт- ные средства,Прочее,Итого
Стол}ст,,,,,
отоимошь |или оценка) на яныанн 2021,84 961,284 050,3 778,1 165,373 954
Накопленная амортизация на января 2021,(51 558),(74 272),(2 951),(403),(129 184)
Балансовая стоимость на января 5v,,,,,
2алaпсan 1vиzв па ппвари 2021,33 403,209 778,827,762,244 770
Поступление Затnaть ца rnnnvuro,100 004,17 563 o09,117 567 on9,,
Затраты на сооружение Рыбытие,(94,9 <UJ,5 <09 (95 057,,
выоытие Амортизационные отчисления,(94 961) (48 148),(56 151),96 (731,(575),(э 0J/ ) (105 605)
Амортизационные отчисление при выбытии,86 752,86 752,,,
Прочее,5 182),(5 182),,,
Балансовая стоимость на 31 декабря 2021,71 868,176 399,187,248 454,
,,,,,
стоимость (или оценка) на 3 1 декаоря 2021 г:,84 822,306 822,3682,1 165,396 491
2021 г: Накопленная амортизация на 31 декабря,84 822,306 822,3682,1 165,396 491
Накопленная амортизация на 31 декабря 2021,(12 954),(130 423),3 682),(978),(148 037)
2021 г:,(12 954),(130 423),3 682),(978),(148 037)
ZUzl,(z 9э4),(130 423),0J2),(го),114о 037 )
Балансовая стоимость на января 2022,71 868,176 399,187,248 454,
Балансовая стоимость на января 2022 г ,71 868,176 399,187,248 454,
zUze Г,1 808,1ro 399,1or,248 4э4,
1оступпе,En 60,262,Fо9 cen,,
Поступление Затраты на соорvжение,550 697,19 601,12 362,582 660,
pa MIC UPym Выбытие,(111 348) 11,(6 211) 70,(117 559) 17m,,
Амортизационные отчисления Амортизационные отчисление пои,(59 455),(59 991),(1 731),(121 177),
выбытии,68 587,68 587,,,
Прочее,11 908,209),6 699,,
Балансовая стоимость на 31 декабря 2022 г ,532 257,130 800,4 607,667 664,
Стоимость (или оценка) на 31 лекабоя,,,,,
2022 Накопленная амортизация на 31 лекабоя,536 079,321 214,7 316,864 609,
2022 г:,3 822),(190 414),(2 709),(196 945),
Балансовая стоимость на 31 декабря 2022 г,532 257,130 800,4 607,667 664,
