31 декабря 2020,Восстанов- лено/ (отнесено) в составе прибыли или убытка,31 декабря 2021,Восстанов- лено/ (отнесено) в составе прибыли или убытка,31 декабря 2022,
Налоговый эффект вычитаемых временных разниц,,,,,
Основные средства за искл. АФПП,(10 818),3 523),(14 341),815,(13 526)
Активы в форме права пользования,(6 681),693),(14 374),(92 078),(106 452)
Нематериальные активы,8 436),3 611),(12 047),3 948,099)
Прочие активы,43 008,034),33 9/4,(20 292),13 682
деоиторская задолженность,662,662,31 31U,31 9/ 2,
Резерва под обесценение денежных средств Резервы пол обесценение срелств,,,,,
депозитах,227,227,,,
Кредиторская задолженность Пnnuie,1 576,(844),732,564,1 296
трочие привлеченные срецства (обязательства по аренде),588,8 964,16 552,84 697,101 249
Чистый отложенный налоговый актив,26 237,(15 075),11 162,9 187,20 349
Признанный отложенный налоговый актив Памэцаццоо nTпnwоuцоо цапогороо,52 172,(248),51 924,96 502,148 426
триопаппос обязательство,(25 935),(14 827),(40 762),(87 315),(128 077)
Итого отложенный налоговый актив,26 237,(15 075),11 162,9 187,20 349
