Рубли,Доллары США,Евро,Другие валюты,Итого,
Активы,,,,,
Денежные средства,199 218,15 194,161,4 215,218 788
Средства в кредитных организациях и банках нерезидентах,5 545 755,545 755,,,
парсэида ~n Дебиторская задолженность,2 188 508,188 508,,,
Итого монетарные активы,7 933 481,15 194,161,215,953 051
,,,,,
Обязательства по аренде,505 870,505 870,,,
Кредиторская задолженность,238 801,69,238 870,,
Итого монетарные обязательства,744 671,69,744 740,,
Чистые монетарные активы,7 188 810,15 125,161,4 215,208 311
В таблице ниже представлен анализ,залютного риск,Компании,отношении,монетарных,КТИВОВ
