ЛЯ,пя снижения рыночных рисков Компания
осуществляет мониторинг анализ находящейся открытом доступе экономиЧеской информации информации 0 ситуациях на финансовых рынках; ценовой информации 0 финансовых инструментах;,
"курсах иностранных валют, процентных ставок; иной информации; которая может иметь значение для оценки рыночного риска;",
осуществляет диверсификацию собственных вложений различные финансовые инструменты (валюты товары) c целью снижения возможных потерь и степени общего инвестиционного риска портфеля;,
осуществляет совершение сделок финансовыми инструментами целях полной ИЛИ частичной компенсации возможных убытков от финансовых инструментов; входящих инвестиционный портфель Компании (хеджирование );,
"при необходимости устанавливает пределы; в рамках которых Компания принимает рыночный риск при инвестировании определенный финансовый инструмент, иностранную валюту, товар;",
принимает иные меры; направленные на снижение рыночных рисков; предусмотренные договорами клиентами стандартами саморегулируемых   организаций на рынке ценных бумаг членом которых является Компания_,
сам обст Слу,лучаи и условия применения конкретных методов управления рыночным риском определяются Компанией мостоятельно в зависимости от характера; условий и объема совершаемых сделок (операций); иных значимых эстоятельств
обс Опе,эстоятельств перационный риск
Опе Опе ИЛИ вре выд путе рись проL кон,"перационный риск перационный риск это риск; возникающий вследствие системного сбоя; ошибок персонала, мошенничества ли внешних событий. Когда перестает функционировать система контроля, операционные риски могут нанести лед репутации; иметь правовые последствия ИЛИ привести финансовым убыткам. Компания не может ыдвинуть предположение 0 ТОМ, ЧТО все операционные риски устранены; но с помощью системы контроля /тем отслеживания соответствующей реакции на потенциальные риски Компания может управлять такими сками Система контроля предусматривает эффективное разделение обязанностей права доступа оцедуры утверждения и сверки, обучение персонала; а также процедуры оценки; включая службу внутреннего нтропя"
Опе,перационный риск это риск; возникающий вследствие системного сбоя; ошибок персонала; мошенничества
ИЛИ вре выд путе рись проL КОН-,"ли внешних событий. Когда перестает функционировать система контроля, операционные риски могут нанести лед репутации; иметь правовые последствия ИЛИ привести финансовым  убыткам_ Компания не может эдвинуть предположение 0 ТОМ, ЧТО все операционные риски устранены; но с помощью системы контроля /тем отслеживания соответствующей реакции на потенциальные риски Компания может управлять такими сками Система контроля предусматривает эффективное разделение обязанностей, права доступа оцедуры утверждения и сверки; обучение персонала, а также процедуры оценки; включая службу внутреннего нтроля"
Meр,еры по снuженuю операцuонных рuское
Для,пя снижения операционных рисков Компанией разработан комплекс процедур; закрепленных в Перечне мер:
закрепляет полномочия и зоны ответственности работников Компании; в части совершения операций связанных осуществлением деятельности ПО управлению ценными бумагами деятельности управляющей компании;,
предоставляет сотрудникам Компании доступ правилам процедурам; регулирующим порядок совершения Компанией операций связанных c осуществлением деятельности по управлению ценными бумагами деятельности управляющей компании; также соответствующим нормативным правовым актам;,
информирует сотрудников Компании об ответственности за нарушение требований правил процедур Компании; а также нарушений требований нормативных правовых актов;,
осуществляет обучение сотрудников для обеспечения соответствия уровня их компетенции выполняемым обязанностям в том числе путем заочного или удаленного обучения;,
обеспечивает разграничение контроль доступа работников Компании третьих лиц помещения Компании; где осуществляются операции; связанные осуществлением деятельности по управлению ценными бумагами и деятельности управляющей компании;,
обеспечивает разграничение и контроль доступа работников Компании к электронным системам и базам данных Компании; связанных осуществлением деятельности по управлению ценными бумагами деятельности управляющей компании;,
