31 декаб,оя 2022,31 декаб,оя 2021,,,,
Материн- ская компания,Ключевой управлен- ческий персонал,Прочие связанные стороны,Компании под общим контролем,Материн- ская компания,Ключевой управлен- ческий персонал,Прочие связанные стороны,Компании под общим контролем
Активь,,,,,,,
Денежные средства,366 309,,,,,,
Дебиторская,,,,,,,
задолженность,29 338,220,25 775,,,,
Прочие активы,,,,,,,
Обязательства,,,,,,,
Кредиторская,,,,,,,
задолженность,13,820 084,,,,,
Прочие нефинансовые,,,,,,,
обязательства,2 696,11 674,,,,,
